,函　　　館　　　　区　　　裁　　　判　　　所,,,,,,,,,函　　　館　　　地　　　方,,,,,裁　　　判　　　所,,,,函　　　　館　　　　控　　　　訴　　　　院,,,,,,,,
,受　　　　理,,,結　　　　　　　　　果,,,,,未　決,受　　　　理,,,結,,果,,,未　決,受　　　　理,,,結　　　　　　　　　　果,,,,,未　決
,旧　受,新　受,計,判　決,取下げ,和　解,その他,計,,旧　受,新　受,計,判　決,取下げ,和　解,その他,計,,旧　受,新　受,計,判　決,取下げ,和　解,その他,計,
明治15,●蕃●,,●●●,●●●,●●●,●●●,●■血,●●●,●●●,●●●,●●●,330,●嗇・,●●●,・・●,●●・,,●●●,●●・,●●●,150,●●●,●●●,・●●,●●●,,
16,,,,●啝●,●二二,,Ｓ●●,●・●,●●●,■二齒,,342,,●●●,●●●,●●●,,●●●,●■●,●●●,91,,●●●,●●●,,●■●,
17,●●●,,●●●,●●●,●●●,,,,●●●,●●ｆ,●●●,160,●●●,,嗇●●,●●●,●●●,●●■,●●●,●●●,65,●●●,●●●,●・●,●●●,●●●,●●●
18,,●●■,●●●,●●●,●●●,●●●,,,,●二●,●¶●,121,●●●,,●●●,●●●,●●●,●●●,●●●,●●●,37,●●●,●●●,●●●,●●●,●●●,■●●
19,■●●,・●●,●●●,●●●,,・●・,,,●●●,■曾●,●・●,46,,Ｉ●●,●●●,●●●,●Ｉ嗇,●・●,Ｉ●●,●●●,37,●●●,●●●,●●僵,●●●,●●●,●Ｉ●
20,●●●,,,●●●,,,,,,●曾●,●・●,62,●蕃●,,ｉ●●,●●●,●●●,二●●,●●●,曾●●,42,●蕃●,●●●,●●●,・●●,●●●,●●●
21,●●●,●●●,●●■,●二●,,●●●,●●●,●●●,●二●,●●●,●●●,57,●●●,●●二,●●●,●●●,■●●,●●●,●慟●,●●●,44,●●●,●●●,●●●,■●●,●●●,
22,●●●,●■●,●●●,●●二,●●・,二●●,,●●●,●●●,●ｆ争,●・●,52,●●●,●●●,●●●,●●●,●●●,●●●,●●い,●●●,53,●●●,●嗇●,■●●,●●●,,
23,●●●,●●●,●●●,●●ｆ,●●●,Ｉ●●,●●●,,●●●,●●●,●●●,71,●●●,,・●●,,,・●二,●●●,,52,,●●●,●●●,●●二,●●●,●●●
24,●●●,,,●●●,,●春●,,,●Ｉ●,,●・●,165,●●●,,●●●,,●●●,●●●,●●・,,97,,,■●●,●●●,●●●,●●●
25,●●●,●●欷,●・●,●●●,・●●,●●●,,●●●,●・●,●●二,●二●,142,●●曾,・●●,,二●●,●●●,●●響,●●●,●●●,103,●●●,●●●,●●●,●●●,●●●,●●●
26,,,●●●,,●●●,●●●,,,,●●●,●●●,169,●●●,,●●●,●●●,●●●,,●●帶,●●●,116,●●●,二●●,●二●,●嗇●,●●●,●●・
27,蕃●●,●●●,●●●,,,●●●,●●●,●●●,●●●,●●●,,278,・●●,曾●●,●●●,・●●,●●●,●Ｉ●,・嗇●,,125,●●●,・●・,●●●,●●●,●●●,●●●
28,・●●,●二●,●●●,●●●,・■●,●●●,■●●,■●●,●●●,●●●,●●●,172,●●暈,●●●,●●●,●●●,曾●●,,●●●,●●●,142,●●●,●●●,●●●,●●●,●●●,・●●
29,●●●,●・●,●●●,●●●,●●●,●●●,●●●,,’●●Ｉ,●●●,●●●,139,,・●●,●●●,●●●,●●●,●●●,●●●,●●●,92,,●●Ｉ,,●●●,●●●,●●●
30,●●●,●４二,●・●,●■●,・●●,●・●,●●●,●●●,●●・,■●●,●●●,181,,,●●●,●●●,●●●,●●●,●●●,●●●,109,●●・,●・●,卜●●,●●●,●●●,●●●
