,函　　　　　　館　　　　　　区　　　　　　裁　　　　　　判　　　　　　所,,,,,,,,,,,,,,,函　　　　　館　　　　　地　　　　　方　　　　　裁　　　　　判,,,,,,,,,,,,,
,刑　　　法　　　犯,,,,,特　別　　法　　犯,,,,,モ　　　　の　　　他,,,,,第　　　　一　　　　審,,,,,第　　　　二　　　　審,,,,,モ　　　の　　　他,,,
,旧　受,新　受,計,既　済,未　済,旧　受,新受,計,既　済,未　済,旧　受,新　受,計,既　済,未　済,旧　受,新　受,計,既　済,未　済,旧　受,新　受,計,既　済,未　済,旧受,新受,計,既済
大正11,52,948,"1,000",968,32,●●●,●●●,二●●,●●●,二●●,●●●,●●●,・４●,●●●,●●●,15,209,224,217,７,,,,,●●，,,,●●Ｉ,
12,32,"1,101","1,103","1,056",77,●●●,●●●,●●●,●●●,嗇●●,●●●,●●●,●●●,●●●,,７,219,226,212,14,■●・,,齒●●,●●■,,●●●,●●●,,●●●
13,77,905,982,975,７,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,,14,126,140,137,３,●■二,●●●,,,●９●,●●●,●●●,●●￥,●●●
14,２,493,495,488,７,４,365,369,369,-,１,59,60,60,-,２,28,30,29,１,１,31,32,28,４,-,14,14,14
昭和１,７,389,396,383,13,-,414,414,413,１,-,21,21,21,-,１,31,32,26,６,４,34,38,32,６,-,16,16,15
２,13,430,443,420,23,１,386,387,387,-,-,31,31,31,-,６,23,29,24,５,６,32,38,38,-,１,23,24,24
３,23,752,775,757,18,●●●,●●●,●●●,●●●,・●●,●●●,●●●,,,●●●,５,128,133,124,９,●・●,Ｉ●●,●●・,●■●,●●●,,,,
４,18,ｱ19,737,722,15,Ｉ●●,●●●,,●●●,●●●,●●●,・●ｌ,●・●,,,９,77,86,80,６,●●●,,,■●●,●●●,●●●,,,●Ｉ●
５,15,408,423,409,14,-,317,317,317,-,-,55,55,55,-,４,37,41,38,３,２,34,36,35,１,-,４,４,４
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
