,既　　　　決　　　　（　　　　受　　　　刑　　　　者　　　　）,,,,,,,,,,,,,未　　　決　　　（　　　刑　　　事　　　被　　　告　　　人　　　）,,,,,,,,,,,,,,,,,,,,,,,
,前　年　よ　り,,,入　　　　　監,,,出　　　　　監,,,残　　　　　留,,,,前　年　よ　り,,,入　　　　　監,,,出　　　　　監,,,残　　　　　留,,,懲　　　　　治,,,別房（労役場）留置,,,乳　　　　児,,,合　　　　　計,,
,男,女,計,男,女,計,男,女,計,男,女,計,,男,女,計,男,女,計,男,女,計,男,女,計,男,女,計,男,女,計,男,女,計,男,女,計
明治19,358,14,372,571,29,600,602,31,633,327,12,339,明治19,97,５,102,655,48,703,715,52,767,37,１,38,●●●,●●●,●●●,●●●,●●●,●●●,凖●●,●●●,●●●,385,14,399
20,●■●,●●●,■●●,●●●,●●●,・●●,●●●,●●●,●●●,●●凖,●●●,・●●,20,●●●,昜●●,●●●,●●●,●●●,●●●,●●●,,●●■,●●●,●●●,・贊・,●●●,●●●,●●●,●●●,●●●,●●●,●●●,昜●●,●●●,●●●,●■●,●●●
21,●●●,●●●,●・痼,●●●,●●●,●●●,●●●,●●暑,●●●,●ａ二,●●二,・●●,21,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●・,■●■,●●●,●●●,●●●,●●●,●●●,●泰●,●●●,●●●,●●●,●●●,●■●,●●●
22,259,11,270,446,165,611,469,164,633,236,12,248,22,26,-,26,522,171,693,513,169,682,35,２,37,-,-,-,-,-,-,-,-,-,271,14,285
23,●●●,●■●,,●●●,●●●,●●●,●●●,●●●,●●●,■●●,●●●,Ｉ●●,23,●●■,●■■,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●■,,●●●,●●聊,●●●,●●●,●●●,ｌ●●,●●●,●●●,●●●
24,257,16,273,451,301,752,498,309,807,210,８,218,24,52,５,57,684,308,992,692,304,996,44,９,53,２,１,３,16,１,17,-,１,１,272,20,292
25,210,８,218,541,444,985,519,428,947,232,24,256,25,44,９,53,753,433,"1,186",714,436,"1,150",83,６,89,-,-,-,８,２,10,-,１,１,323,33,356
26,232,24,256,758,167,925,707,176,883,283,15,298,26,83,６,89,811,235,"1,046",817,233,"1,050",77,８,85,１,-,１,10,-,10,１,-,１,372,23,395
27,●●●,●●●,●●●,●●●,●●●,・●●,●●●,●●●,●●●,●●●,●●●,●●●,27,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●４,●畆●,●●●,●・●,,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●
28,●●●,●●●,●●■,●●●,●●●,●●●,●●φ,●●●,●●●,●●●,●■襴,●●●,28,,●■■,●●●,●●●,■●■,●●●,,・●●,●●・,●●●,■●慟,●●●,●●●,●●●,●●●,●●●,●●●,・●●,●●●,●●●,●●●,●●●,●●ａ,●●●
29,●●●,●●●,376,●●●,●●●,"1,972",■●●,●●●,"2,010",311,27,338,29,●●●,●●●,137,●●●,●●●,"2,609",●●●,●●●,"2,633",110,３,113,-,-,-,47,４,51,一,２,２,468,36,504
30,3n,27,338,●●●,●帰●,"1,868",●●●,●●●,"1,764",414,28,442,30,110,３,113,●●■,●●・,"2,079",●●●,●●●,"2,055",125,12,137,１,-,１,45,４,49,１,-,１,586,44,630
31,●●●,●●●,,●瑤●,●●●,・●●,●●●,●争●,Ｉ●●,●Ｉ●,●●●,ｉ●●,31,●●●,●●●,●●●,ａ●●,●●●,奉●乖,●●●,●●●,・●●,●●¶,●・●,●●●,●●・,●●●,●●●,●●●,●●●,●・●,●●●,●●●,●●・,●●●,●●●,●●●
32,●夸●,●●●,,●●●,●●●,●●●,,●●●,●●●,●●●,曇●●,・●●,32,●●■,●■●,●●●,●●●,■●●,●●●,●●・,●●●,●●●,●●・,●●襴,●●●,●●●,●●●,●●●,●●●,●●・,●●●,●●●,●●●,●●●,●●●,●●●,●●●
33,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●畚●,●●●,●●●,33,●●●,●●●,●●・,●●●,●●●,儁●●,●●●,●●●,●●●,●●●,●●早,,●●●,●●●,●●●,●●●,●●・,●■■,●●●,■●●,●●■,■●■,●●●,●●●
34,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,505,30,535,34,●●●,●・●,,●●●,●●●,●墻●,●●●,●●●,・●●,152,12,164,１,-,１,34,２,36,Ｉ,-,１,693,44,737
35,505,30,535,"2,119",818,"2,937","2,096",819,"2,915",* 433,29,* 462,35,152,12,164,"1,552",680,"2,232","1,837",696,"2,533",* 208,＊　７,＊215,-,-,-,26,１,27,-,-,-,* 667,＊　37,* 704
36,433,29,462,"2,042","1,289","3,331","1,975","1,280","3,255",500,38,538,36,208,７,215,"1,829","1,217","3,046","1,868","1,215","3,083",169,９,178,２,-,２,14,-,14,-,１,１,685,48,733
37,500,38,538,"1,526","1,170","2,696","1,634","1,180","2,814",* 372,28,＊400,37,169,９,178,"1,311","1,090","2,401","1,453","1,096","2,549",＊　88,＊　４,＊　92,３,-,３,６,-,６,１,-,１,* 470,＊　32,* 502
38,372,28,400,"1,028",890,"1,918","1,012",892,"1,904",* 390,＊　27,* 417,38,88,４,92,900,108,"1,008",984,104,"1,088",＊　59,８,＊　67,１,-,１,10,１,11,１,２,３,* 461,＊　38,* 499
39,●●●,●●●,513,●●●,●●●,"1,950",・●●,■●●,"1,398",429,23,* 452,39,●●●,●●●,78,●■襴,●●●,"1,129",●●●,●●●,"1,182",50,３,＊　53,４,４,＊　８,３,１,４,４,７,11,480,38,518
40,●●●●,●●●,327,●●●,●●●,905,●●●,●●●,920,304,18,* 322,40,・●●,・●●,38,●●●,●●■,633,,●■●,614,57,１,＊　58,14,４,18,-,-,-,１,-,１,376,23,399
