,,函　　　　　館　　　　　区　　　　　裁　　　　　判　　　　　所,,,,,,,,,,,,,
,,言　　　渡　　　区　　　分,,,,,受　　　刑　　　者　　　　区　　　分,,,,,,,,
,,管轄違,無　罪,有　罪,その他,計,死　刑,懲　　役,,禁　　　固,,罰　金,拘　留,科　料,計
,,,,,,,,無　期,有　期,無　期,有　期,,,,
,明治37,１,22,460,12,495,-,重禁固,216,咥禁固,９,514,31,50,820
,38,３,36,895,31,966,-,重禁固,338,j堅禁固,５,765,25,59,"1,192"
,39,３,52,691,45,787,-,重禁固,295,嘔禁固,１,689,27,117,"1,129"
,40,２,81,721,58,861,-,重禁固,303,軽禁固,２,"9,822",35,356,"1,678"
,41,-,36,800,24,860,ｆ-,重禁固,360,軽禁固,１,163,１,83,608
,42,２,51,"1,266",10,"1,329",-,-,490,-,４,467,32,152,"1,145"
,43,-,21,962,３,987,-,-,242,-,１,664,34,467,"1,408"
,44,-,14,916,１,931,-,-,204,-,１,560,18,678,"1,461"
,大正１,-,14,931,３,948,-,-,421,-,１,479,58,552,"1,511"
,２,-,６,891,１,898,-,-,471,-,-,640,11,250,901
,３,-,20,605,５,630,-,-,258,-,-,513,19,258,"1,048"
,４,-,29,684,３,716,-,-,278,-,１,"1,024",24,469,"1,796"
,５,-,20,650,３,673,-,-,521,-,３,"1,063",57,212,"1,856"
,６,１,４,"1,283",２,"1,290",-,-,526,-,４,"1,099",27,337,"1,993"
,７,５,22,"1,153",６,"1,186",-,-,5n,-,２,910,５,237,"1,665"
,８,-,13,627,２,642,-,●●●,436,●●●,-,182,７,２,627
,９,-,６,426,５,437,-,■・・,357,,２,25,３,39,426
,10,-,１,995,３,999,-,●●●,297,,１,622,３,367,"1,290"
