,函　　　　　館　　　　　地　　　　　方　　　　　裁　　　　　判,,,,,,,,,,,,,
,言　　渡　　　区　　　分,,,,,受　　　　刑　　　　者　　　　処　　　　分,,,,,,,,
,管轄違,無　罪,有　罪,その他,計,死　刑,懲　　役,,禁　　　固,,罰　金,拘　留,科　料,計
,,,,,,,無　期,有　期,無　期,有　期,,,,
,,,■４●,・・呷,,,●●●,●●●,,,,,,
,,,■・■,,■・呷,●・■,,●●●,・●●,■・■,,■・■,■●●,・■●
,●●●,●●■,●●●,,■二●,,■●●,●●●,●■Ｉ,,,二●●,●●曾,
,●●●,,●曾●,,●●●,●●●,●●●,●●●,,,,●●●,●Ｉ●,●●●
,,,●●●,,●●●,,●●●,●二●,●●・,,,,,
,●●●,ｌ●●,●●●,●●●,●●●,●●●,●●●,●●●,●●・,●●●,■●●,●●●,●嵋罍,
,-,23,505,20,548,-,１,501,-,３,115,８,16,644
,-,14,423,17,454,-,１,213,-,２,132,19,18,385
,１,23,539,17,580,-,-,385,-,１,144,19,20,569
,-,11,172,１,184,-,２,187,-,-,80,14,18,301
,-,11,183,40,234,-,２,138,-,-,61,29,３,233
,-,14,214,-,228,-,-,108,-,-,54,51,６,219
,-,18,226,１,245,１,-,126,-,５,41,45,-,217
,-,16,140,153,309,-,-,139,-,15,41,４,３,202
,-,12,305,１,318,-,-,419,-,３,61,３,２,488
,-,-,43,-,43,１,●●●,75,●●●,-,-,-,１,77
,-,１,64,-,65,-,●■●,176,,６,28,-,-,210
,-,-,146,１,147,-,,130,,-,32,１,-,163
