,,函　　　　　館　　　　　地　　　　　方　　　　　裁　　　　　判,,,,,,,,,,,,,,
,,第　　　　一　　　　審,,,,,第　　　　二　　　　審,,,,,モ　　　の　　　他,,,,
,未　済,旧　受,新　受,計,既　済,未　済,旧　受,新　受,計,既　済,未　済,旧受,新受,計,既済,未済
,●●●,15,209,224,217,７,,,,,●●，,,,●●Ｉ,,１・●
,,７,219,226,212,14,■●・,,齒●●,●●■,,●●●,●●●,,●●●,●Ｉ●
,,14,126,140,137,３,●■二,●●●,,,●９●,●●●,●●●,●●￥,●●●,●●●
,-,２,28,30,29,１,１,31,32,28,４,-,14,14,14,-
,-,１,31,32,26,６,４,34,38,32,６,-,16,16,15,１
,-,６,23,29,24,５,６,32,38,38,-,１,23,24,24,一
,●●●,５,128,133,124,９,●・●,Ｉ●●,●●・,●■●,●●●,,,,,
,,９,77,86,80,６,●●●,,,■●●,●●●,●●●,,,●Ｉ●,
,-,４,37,41,38,３,２,34,36,35,１,-,４,４,４,-
