,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,懲　　　　　治,,,別房（労役場）留置,,,乳　　　　児,,,合　　　　　計,,
,男,女,計,男,女,計,男,女,計,男,女,計
,●●●,●●●,●●●,●●●,●●●,●●●,凖●●,●●●,●●●,385,14,399
,●●●,●●●,●●●,●●●,●●●,●●●,●●●,昜●●,●●●,●●●,●■●,●●●
,●●●,●●●,●●●,●●●,●●●,●泰●,●●●,●●●,●●●,●●●,●■●,●●●
,-,-,-,-,-,-,-,-,-,271,14,285
,●●●,●●■,,●●●,●●聊,●●●,●●●,●●●,ｌ●●,●●●,●●●,●●●
,２,１,３,16,１,17,-,１,１,272,20,292
,-,-,-,８,２,10,-,１,１,323,33,356
,１,-,１,10,-,10,１,-,１,372,23,395
,●●●,●・●,,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●
,●●●,●●●,●●●,●●●,●●●,・●●,●●●,●●●,●●●,●●●,●●ａ,●●●
,-,-,-,47,４,51,一,２,２,468,36,504
,１,-,１,45,４,49,１,-,１,586,44,630
,●●・,●●●,●●●,●●●,●●●,●・●,●●●,●●●,●●・,●●●,●●●,●●●
,●●●,●●●,●●●,●●●,●●・,●●●,●●●,●●●,●●●,●●●,●●●,●●●
,●●●,●●●,●●●,●●●,●●・,●■■,●●●,■●●,●●■,■●■,●●●,●●●
,１,-,１,34,２,36,Ｉ,-,１,693,44,737
,-,-,-,26,１,27,-,-,-,* 667,＊　37,* 704
,２,-,２,14,-,14,-,１,１,685,48,733
,３,-,３,６,-,６,１,-,１,* 470,＊　32,* 502
,１,-,１,10,１,11,１,２,３,* 461,＊　38,* 499
,４,４,＊　８,３,１,４,４,７,11,480,38,518
,14,４,18,-,-,-,１,-,１,376,23,399
,-,-,-,-,-,-,-,-,-,364,15,379
,-,-,-,-,-,-,１,-,１,704,33,737
,-,-,-,５,-,５,-,１,１,912,42,954
,-,-,-,４,２,６,-,１,１,870,66,936
,-,-,-,14,５,19,１,-,１,762,52,814
,-,-,-,14,１,15,１,-,１,688,30,718
,-,-,-,４,２,６,-,１,１,584,46,630
,-,-,-,16,-,16,-,１,１,619,36,655
,-,-,-,４,２,６,１,-,１,668,32,700
,-,-,-,３,１,４,１,-,１,786,29,815
,-,-,-,-,１,１,１,１,２,804,38,842
,-,-,-,-,２,２,-,-,-,913,14,927
,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,883,20,903
,-,-,-,４,-,４,-,-,-,895,18,913
,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,975,60,"1,035"
,●●●,●●●,●曾Ｉ,●●●,●●●,●●●,●●●,●●●,●●●,889,98,987
,●●●,●●●,●曝●,暑●Ｉ,●●●,●●昜,●●●,●●●,●●●,753,85,838
,-,-,-,22,３,25,-,-,-,520,32,552
,-,-,-,21,-,21,-,-,-,483,20,503
,-,-,-,６,-,６,-,-,-,306,-,306
,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●・,●●●,286,-,286
,●●●,●●●,●●・,●●●,●●●,●●●,●●●,●●■,●●●,371,-,371
,-,-,-,19,-,19,-,-,-,330,-,330
