,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,"警察
署数","分署
数",派出所数,,,駐在,警　察　官　及　び　警　察　職　員　数,,,,,,
,,,,警部補,巡査部長,巡査,所数,警　視,警　部,警部補,巡査部長,巡査,その他,計
,明治19,２,-,-,-,●●●,-,-,10,-,-,n4,-,124
,20,１,１,-,-,・●●,-,-,,-,-,,一,■●●
,21,１,１,-,-,11,-,-,９,-,-,125,-,134
,22,１,１,-,-,11,-,-,８,-,-,109,-,117
,23,１,１,-,-,11,-,-,７,-,-,99,-,106
,24,２,-,-,-,11,-,-,６,-,-,101,-,107
,25,２,-,-,-,８,-,-,５,-,-,85,-,90
,26,２,-,-,-,14,-,-,９,-,-,93,-,102
,27,２,-,-,-,14,-,-,７,-,-,101,-,108
,28,２,-,-,-,13,-,-,７,-,-,116,-,123
,29,２,-,-,-,13,-,-,７,-,-,113,-,120
,30,２,-,-,-,13,-,-,７,-,-,128,-,135
,31,２,-,-,-,14,-,１,４,-,-,108,-,113
,32,１,１,-,-,●●●,●●嗇,,,-,-,,,
,33,１,２,一,-,15,５,１,５,-,-,144,３,153
,34,１,２,-,-,15,５,１,５,-,-,143,３,152
,35,１,２,-,-,15,５,１,７,-,-,144,３,155
,36,１,２,-,-,15,５,１,４,-,-,147,２,154
,37,１,２,-,-,15,５,１,６,-,-,176,２,185
,38,１,２,-,-,15,５,１,６,-,-,172,４,183
,39,１,２,-,-,14,●●●,■・●,,-,-,●●●,●●●,
,40,１,１,-,-,14,-,●●●,●●■,-,-,,,
,41,１,１,-,-,13,-,●●●,,-,-,,●●●,●●●
,42,１,１,-,-,14,１,,,-,-,●●●,・・■,●●●
,43,１,１,-,-,14,１,●●●,,●●●,二●●,●●●,,●●●
,44,２,１,-,-,17,-,齒■●,,●●●,●●●,●・●,,
,大正１,２,１,-,-,14,-,●●●,,,Ｉ●●,●●●,,●●二
,２,２,６,-,-,17,５,１,４,５,９,142,５,166
,３,２,-,-,１,18,-,１,３,５,９,139,７,164
,４,２,-,-,１,18,-,１,３,５,11,140,77,167
,５,２,-,-,２,18,-,１,４,４,13,145,３,170
,６,２,-,-,１,18,-,１,４,５,13,143,７,173
,７,２,-,-,１,19,-,１,４,５,13,137,９,169
,８,２,-,-,５,19,-,１,４,５,13,147,２,172
,９,２,-,-,,19,-,１,４,５,15,150,-,175
,10,,,蕃幽幽,●●●,●二●,●●●,●●呷,■●・,●●●,●●●,●●●,●●●,●●●
,11,,,●●●,●●●,,●●●,,,,●二●,●・■,,●●●
,12,●●●,,二●●,●●●,●●●,●●二,●●齒,●●●,●●●,●●●,・■●,,●４●
,13,,●●●,,,,,,,,,,，●■,●暈●
,14,・●●,●●●,●●●,●●●,●●●,■●●,,,●●●,●●●,・●●,,●會●
,昭和１,,●●●,,,●●暮,,●二二,●■●,●●Ｉ,●●●,●●●,,
,２,●●●,●●春,,●●●,■●●,,,,,,,,
,３,,●●●,●僵・,,●・嗇,,,●●●,●●●,,,●・●,●●蕃
,４,,●●●,,,●●●,,,,●●●,,,,●●●
,５,●●●,●●●,●蕃●,,●●●,●●●,●●嚶,,●●二,●●●,●●●,,●●●
,６,●●●,●●●,齒・●,,●●・,●●●,●■●,,●●●,・●●,●●●,,
,７,●●●,●φ■,■・●,●●●,●●●,,,・●●,●●●,,,■・■,●●●
,８,,●●●,■●●,,,,,,●●●,●●●,●●●,●●●,
,９,●●●,●●●,●●●,,●●●,,●●●,,●●●,,●●●,●●●,●●●
,10,●●●,,●●●,・●■,●■・,,■■・,・滷・,,,■・●,●●●,
,11,２,-,２,３,23,25,２,２,13,25,212,29,283
,12,２,-,２,３,23,25,２,２,12,25,201,35,293
,13,２,-,２,３,23,25,,■・●,18,26,217,●●●,
,14,２,-,１,４,26,23,,●¶●,12,33,230,,
,15,２,-,１,４,26,23,二●●,・●争,12,33,230,●●●,
,16,２,-,１,４,26,23,●■■,■・●,13,37,235,●●●,●●●
