,総　　数,,電　　　　　　　　　　　　　　　　　　　灯,,,,,,,,,,,,,,,,,,
,,,電　灯　小　計,,定　額　電　灯,,従　量　電　灯,,"大口電灯昭和50～
公衆街路灯",,,,電　　　　　　　　　　　　力,,,,,,,,
,口　数,使用量,口　数,使用量,囗　数,使用量,囗　数,使用量,口　数,使用量,臨　時　電　灯,,電　力　小　計,,業務用電力,,小　囗　電　力,,大　口　電　力,,その他の電力
昭和29,●●●,"MWH
103,055",●●申,"MWH
44,017",●●●,"MWH
18,229",・●●,"MWH
20,875",●●●,"MWH
4,617",囗　数,使用量,口　数,使用量,口　数,使用量,口　数,使用量,囗　数,使用量,口　数
30,曇●●,"105,343",●●●,"45,508",●●●,"16,649",●●●,"22,022",●●●,"6,442",●ａ●,"MWH
296",・●●,"MWH
59,038",●●●,"MWH
4,838",■●●,"MWH
28,326",●●●,"MWH
22,232",●●●
31,●●●,"119,275",●・●,"47,369",●●●,"15,627",●●●,"23,920",●●●,"7,422",●●●,395,●●●,"59,835",●●●,"5,112",●●●,"33,030",●●●,"19,634",●●●
32,,"137,426",●●●,"49,686",,"14,676",●●●,"26,254",●●●,"8,386",●●●,400,●幽●,"71,906",●■●,"5,444",●●●,"39,342",●●●,"22,746",●■■
33,●●●,"135,284",●●●,"52,513",●●●,"13,774",●●●,"29,166",●●●,"9,222",●●●,370,●ａ●,"87,740",●●●,"5,653",●●●,"40,428",●●●,"38,053",●●●
34,●●●,"148,966",●●●,"56,641",,"12,606",●●暑,"33,140",●●●,"10,436",●●●,351,●●●,"82,771",二●●,"6,336",●●●,"42,294",●●●,"31,025",●●●
35,●●・,"174,996",●●●,"63,037",●●●,"12,224",●●●,"37,769",蕃●●,"12,558",●●●,459,●●●,"92,325",●・●,"6,999",●●●,"46,185",●●●,"33,970",●●●
36,●●●,"220,134",■●●,"72,111",●●●,"10,717",●二●,"45,959",●●●,"14,800",●●●,486,●●●,"111,959",●●●,"8,023",●●●,"51,312",●帶●,"46,680",●・・
37,■●●,"228,242",●泰●,"81,252",●●●,"9,693",●●●,"53,885",●二●,"16,946",●●●,635,●●●,"148,023",●●●,"8,600",・●●,"57,905",●●■,"76,655",●●●
38,●●●,"263,596",●●●,"93,441",●●●,"9,179",●●夸,"63,181",●●●,"20,147",●■●,728,●●●,"146,990",●■●,"9,882",●●●,"60,024",●●●,"72,647",●●●
39,●●●,"288,841",●●●,"104,790",●●●,"8,981",●●●,"71,106",●・●,"23,736",●●●,934,●●●,"170,155",●●●,"10,913",・●●,"66,612",●●●,"82,593",盞■●
40,"61,259","146,881","58,560","64,878","7,271","3,696","48,398","41,173","2,891","20,009",●●●,967,●凖奉,"184,051",●●●,"12,618",●●●,"73,220",●●●,"94,003",●●●
41,"62,310","71,234","62,310","71,234","7,255","3,699","51,767","45,219","3,288","22,316",●●●,●●●,"2,699","82,003",57,"11,900","2,633","44,348",９,"25,755",●●●
42,"66,197","181,498","63,222","74,165","6,419","3,737","53,552","47,982","3,251","22,446",●●●,●幽●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●
43,"71,180","210,881","68,003","84,469","6,155","3,727","58,366","56,595","3,482","24,147",●●●,・●●,"2,975","107,333",79,"16,982","2,886","56,112",10,"34,239",●■襴
44,"74,196","238,867","70,753","98,039","6,628","4,133","60,403","66,976","3,722","26,930",●●●,●●●,"3,177","126,412",110,"22,523","3,056","67,679",11,"36,210",●■襴
45,"80,517","264,472","77,024","112,833","7,002","4,494","65,943","78,126","4,079","30,213",●●●,●●●,"3,443","140,828",139,"29,427","3,291","70,523",13,"40,878",●●●
46,"99,414","326,712","92,798","144,913","11,650","5,980","76,070","100,059","4,864","38,109",●●●,●●●,"3,493","151,639",168,"35,298","3,310","70,428",15,"45,913",●●●
47,"105,597","384,810","98,256","169,900","12,633","7,056","80,269","120,454","5,112","41,563",214,765,"6,616","181,799",237,"45,167","4,037","71,051",16,"56,922","2,326"
48,"117,848","440,559","108,962","188,365","14,675","8,486","88,204","130,981","5,806","47,422",242,827,"7,341","214,910",303,"60,826","4,306","78,449",16,"65,202","2,716"
49,"119,261","443,085","110,713","201,197",●●●,,"110,550","200,383",●●●,●●●,277,"1,476","8,886","252,194",371,"71,008","4,783","84,153",19,"73,571","3,713"
50,"123,145","469,345","114,254","214,370","1,556",869,"97,036","203,603","15,378","8,912",163,814,"8,548","241,888",436,"75,116","5,098","83,233",18,"72,407","2,996"
51,"128,457","509,927","119,246","234,305","1,687",890,"100,807","220,095","16,459","11,816",284,986,"8,891","254,975",437,"81,239","5,297","86,904",20,"76,759","3,137"
52,"132,195","512,584","122,695","246,750","1,667",873,"103,898","232,038","16,929","12,416",293,"1,504","9,211","275,622",477,"92,747","5,531","90,690",20,"81,071","3,183"
