,総　　　　　数,,,家　　庭　　用,,商　　業　　用,,工　業　用,,公　　　用,,医　療　用,,不　使　用,,
,,,,,,,,,,,,,,,,F字
,戸　　数,供給量,販売量,戸　数,販売量,戸　数,販売量,戸　数,販売量,戸　数,販売量,戸　数,販売量,戸　数,販売量,恥
大正１,"－
　尸
1,774","千㎡
　95",千㎡,"戸




●●●",千㎡,"戸




■●●","千㎡




　●●●","戸



●･･","千㎡



　●●●","戸




●●●","千㎡



　●啝●","一
尸

●●●","千㎡




　●●●",戸,"千㎡




　●●●",嬋
,,,,,,,,,,,,,,,,叫
２,"4,782",727,●●●,●●●,●■●,●●●,●●●,●●●,凖●●,●●●,●●●,●●慟,●●●,●●●,●●●,
３,"5,088","1,002",,●●●,■●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●襴●,●■●,●●●,
４,"5,149","1,074",,●●●,●●●,●●●,●●●,●●●,●●●,●●■,●●●,●●●,●●●,●●●,●●●,
５,"5,059","1,202",●●●,●●●,●●●,●●●,●●●,●●唏,●●●,●争・,■●●,●●●,●●●,・■●,●●●,
６,"4,795","1,279",●●●,●・●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,Ｉ蕃●,●●●,●●二,●●●,
７,"4,843","1,337",二●●,●●■,●●●,●●●,●●●,二・■,●・・,・－・,・●・,●争●,●●二,●ａ●,●●●,
８,"4,455","1,333",●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,・●●,●●●,嶇●●,
９,"4,139","1,098",・●●,●慟●,●●●,二●●,●●●,●●■,●●●,●●●,●●●,●●●,■●●,●●●,●●●,
10,"2,840",791,●夸●,●●●,●●●,●●●,●●・,●●■,●●●,●●●,●●●,●●●,●蒔●,●●●,●●●,
11,"2,852",784,■●●,●●●,■●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●■,●●●,●■■,
12,"2,647",844,●●●,●●嘯,●●●,●●申,●●●,,●・φ,●●●,●●●,■●■,●●●,●●●,,
13,"2,728",977,,●●●,,●●●,●●●,●●●,●●●,●二●,畢●●,●●襴,●●●,,●●●,
14,"2,896","1,097",●●●,●●●,●●●,●●●,●●●,●畆●,●ｊ●,●●●,●φ●,●●●,●・・,,●●●,
昭和１,"2,850","1,215",●■●,●●●,■●■,●●●,,,●●●,●●●,啝申●,●●●,●■●,●●■,●●●,
２,"2,932","1,242",●●●,●●●,●●●,●●●,●●●,●■慟,●●●,■●●,●●●,●●●,●●●,●●●,●●■,
３,"3,685","1,460",,●・●,■■襴,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,
４,"4,629","1,755",●争■,●●●,●●●,●●●,Ｉ●●,●●●,●●●,●●●,●●●,●●●,舍●●,●●●,●●●,
５,"4,865","2,027",●●¶,●●●,●●●,●●●,・・●,●●●,●●●,幽幽●,●二●,,●●●,●慟●,●●●,
６,"5,188","1,835",●●●,●●●,・●●,●●●,●●●,●●●,●●●,■●・,●●●,●●●,●●●,●●●,●●●,
７,"5,002","1,775",●●●,●●●,●●●,●争●,●●●,●●●,●●●,●●●,●●●,●■●,４●●,●●●,●●●,
８,"5,229","1,797",,●■●,,●●●,●●●,●●●,●●●,・●●,●耆●,●●●,●●●,,●●●,
９,"4,006","1,582",●●●,●●●,●●●,●●●,●●●,●●啝,●●凖,●●●,●●●,●●●,●●●,●●●,●●●,
10,"4,883","1,684",,●僵¶,,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,
11,"5,477","1,802",●●●,●●●,・・●,●●●,●■・,●●●,●●●,●申●,●●●,●●●,●●●,●●●,●●●,
12,"5,563","1,911",,●●●,,●●●,,,,●●●,●●●,・●●,●●●,●●●,●■●,
13,"5,494","2,104",,●●畴,●●●,●●●,,●●●,●●●,邏●●,●●●,●●●,●●●,●●●,瑤●●,
14,"5,577","2,338",・争●,●●●,●争●,●●●,●●●,●●●,,●●●,,●●●,●●●,●●●,二●●,
15,"5,708","2,863",●●奉,●●●,●●●,●●●,●●●,●●●,・●●,●●●,●●●,●ａ●,●●●,●●●,●●●,
16,"5,715","3,037",●●●,●●●,●●●,●●襴,,・●●,●●●,●●●,,●●●,●●●,●●●,●●●,
17,"5,841","2,970",●晦●,曝●●,●●●,●●●,●●●,●，●,●●●,●●帰,●●●,●●●,●●●,●●●,●●●,
18,"5,903","3,286",●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,
19,"5,910","2,414",●●●,●●●,●●●,●●●,●●●,●●●,・・・,■●●,●●●,●●●,●●●,●●●,●●●,
20,"5,392","2,273",二●●,●・●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,Ｉ●●,●●●,
21.0,"5,370","1,885","1,233",●●●,●●●,●●●,●・●,●●●,●■●,●■●,●●●,●●●,●●●,●●●,●●●,
22.0,"5,322","1,132",968,●●●,●●●,●●●,,慟●●,●●ａ,●●●,●●●,●●●,●●●,・●●,●●●,
23.0,"5,443","1,392","1,225",●●●,●●●,●●●,●●●,●●●,●●●,●●●,■●●,,,●●●,●●●,
24.0,"5,464","1,632","1,511",●●●,●●●,●●４,●●●,●・●,●●●,慟●●,●●●,,,●●曝,●●●,
25.0,"5,608","2,196","1,808",●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,,●●●,,
26.0,"5,621","2,798","1,940",●●●,●●●,●二●,●●●,●●●,●●●,●●●,,■●■,,●●●,●●●,
27.0,"5,826","2,529","2,224",●●●,●●●,●●●,●●●,●●●,●●●,●●●,,●●●,●●●,暮啝●,●●●,
28.0,"5,905","2,806","2,394",●●●,●●■,●●●,●●■,●襴●,●●●,●●●,●●●,●●●,,●●●,●●●,
29.0,"6,289","3,179","2,818",●●●,●●●,●●●,,●●●,●●●,●●●,●●●,●●●,●・●,●●●,●●●,
30.0,"7,557","3,851","3,493","6,283","1,634",833,"1,241",30,244,47,94,184,279,180,・●■,
31.0,"8,627","6,492","4,130","7,256","1,925",933,"1,449",33,339,42,91,214,326,148,●●●,
32.0,"10,050","6,423","5,342","8,421","2,472","1,054","1,755",42,561,45,120,319,433,417,●●●,
33.0,"11,178","6,886","6,178","9,313","2,882","1,140","1,887",44,685,63,186,333,539,537,●●●,
34.0,"11,854","7,291","6,879","9,985","3,084","1,127","1,960",45,944,65,250,224,641,558,●凖●,
35.0,"12,403","7,987","7,394","10,550","3,203","1,124","2,284",44,925,91,305,244,677,504,●●●,
36.0,"12,956","9,012","8,139","10,987","3,378","1,156","2,716",43,"1,068",96,321,252,656,575,■●●,
37.0,"13,527","9,540","8,852","11,536","3,869","1,205","3,027",39,901,112,345,263,710,525,●●●,
38.0,"14,196","11,010","9,557","12,179","4,169","1,187","3,236",26,"1,030",89,385,220,736,494,●●●,
