,,水　　管　　延　　長,,,,給　　　水　　戸　　　数,,,,,給　　　水　　量,,
,,導水管,送水管,配水管,計,共　用　栓,,専　　用　　栓,,,■dfr'X PF･,1/廴矗淌ロコ,丑亠
,,,,,,戸　数,栓　数,戸　数,放任栓数,計量栓数,μJj･1yIJ,yUM71卜l冖Ｊ,卩ｌ
,明治37,"尺



●f●","尺



●●●","尺




●●●","尺
235,410",戸,"栓
375",戸,"栓
995","栓
729","千立方尺
833,210","千立方尺
　10,566","千立方尺
843,776"
,38,,●●●,,"235,410",,390,●●●,"1,067",751,"822,840","21,170","844,010"
,39,●●●,Ｉ●●,●●●,"237,522",●●●,421,,"1,114",714,"833,066","21,247","854,313"
,40,●●●,●●●,,"241,086",,431,,"1,264",704,"798,968","20,200","819,168"
,41,●●●,,Ｉ●●,"246,438",●●●,483,●・●,"1,332",834,"809,161","22,008","831,169"
,42,●●●,●二春,４●●,"252,696",●●●,537,,"1,574",782,"809,218","23,523","832,742"
,43,,●●●,●●●,"250,254",,617,,"1,459",819,"605,260","20,994","626,254"
,44,,●●●,,"239,196",●●●,667,■●Ｓ,"1,677",879,"648,627","21,313","669,940"
,大正１,●●●,,●●●,"240,030",,661,●●●,"1,567",841,"641,193","24,812","666,005"
,２,・●●,●●●,暈●●,"240,030",●●●,782,●●●,"1,760",902,"99,299","4,037","103,336"
,３,"3,134","63,695","183,496","250,325","16,228",839,"2,429","1,840",862,"98,515","4,493","103,008"
,４,"3,134","63,695","183,496","250,325","16,941",922,"2,527","1,899",894,"99,444","3,645","103,089"
,５,"3,134","63,695","186,104","252,933","17,443",935,"2,432","1,984",925,"98,811","4,131","102,941"
,６,"3,134","63,695","186,104","252,932","19,562",823,"2,556","1,899","1,249","97,438","4,743","102,181"
,７,"3,134","63,695","186,104","252,933","19,639",956,"2,714","2,071","1,398","98,663","4,486","103,150"
,８,"3,134","63,695","186,104","252,933","24,622",992,"3,079","2,276","1,423",,906千,"－
コ　　　●●●"
