,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,給水区域世帯人口,,給　水　世　帯,,４４・･ｔ・,"ｌ人１日
－･x，","１人１日
四　　亅_",１日平均,最　大,１日最大,晶４Å」．両
,,世帯,人口,世帯,人口,"日ﾑ･ヽｆ‘



　　　%","ｌ　　〃り
給水量
　　　ｊ","月乂　　ﾉ丶
給水量
　　　ｊ","給水量
　　㎡",給水日,"給水量
　　㎡","巾ひ甲口xj丶ξ蔘･-



　　　　　　㎡"
,昭和21,"41,126","187,367","30,147","144,588",77.17,207,237,"29,952",●●●,"34,270","10,962,649"
,22,"34,480","204,924","35,663","167,075",81.53,198,238,"33,019",●■●,"39,830","12,052,057"
,23,"44,708","218,420","37,362","184,036",84.26,201,275,"36,722",Ｉ●●,"50,620","13,476,626"
,24,"47,126","228,389","37,827","180,813",79.17,222,315,"40,056",,"57,010","14,620,387"
,25,"47,736","232,094","37,779","180,988",77.98,208,314,"37,726",・■・,"56,830","13,807,950"
,26,"48,680","233,218","38,218","183,095",78.51,218,294,"39,592",12/ 8,"53,470","14,490,664"
,27,"48,983","233,952","38,205","183,190",78.30,224,264,"40,980",6/ 4,"47,930","14,957,780"
,28,"49,372","236,192","38,172","183,416",77.66,226,264,"41,380",●●●,"48,300","15,145.140"
,29,"50,152","240,485","38,131","183,601",76.35,245,3n,"44,998",●●●,"56,790","16,424,424"
,30,"51,268","243,261","39,158","185,805",76.38,240,334,"44,600",●●●,"63,480","16,323,457"
,31,"52,136","244,967","40,258","189,157",77.22,260,325,"49,164",●●●,"60,390","17,944,789"
,32,"56,190","252,146","41,607","193,096",76.58,254,302,"49,008",9/ 9,"57,030","17,887,960"
,33,"57,223","251,167","42,476","197,980",78.82,273,294,"51,300",9/ 9,"57,180","18,724,370"
,34,"59,527","253,540","40,457","198,172",78.16,262,313,"51,941",7/21,"62,170","1,901,520"
,35,"60,724","253,552","41,744","199,913",78.84,269,313,"53,692",8/26,"62,310","19,597,475"
,36,"61,273","252,442","43,151","202,075",80.05,263,296,"52,781",8/16,"59,320","19,267,330"
,37,"63,918","252,835","44,648","204,387",80.84,271,302,"55,071",8/22,"61,350","20,100,848"
,38,"65,274","252,112","46,272","206,222",81.80,298,322,"61,114",8/ 3,"65,950","22,306,787"
,39,"66,701","250,021","48,369","208,757",83.50,297,330,"61,627",9/ 2,"68,355","22,493,815"
,40,"66,417","246,189","50,417","210,966",85.69,302,332,"63,345",8/24,"69,517","23,120,928"
,41,66.736,"241,652","52,147","213,656",88.41,311,363,"66,124",8/30,"77,031","24,135,130"
,42,"69,441","248,310","54,734","218,317",87.92,312,357,"67,420",8/26,"76,700","24,675,801"
,43,"71,060","246,789","32,832","224,310",90.89,340,379,"75,466",3/20,"84,100","27,545,200"
,44,"72,083","241,504","64,596","226,861",93.94,324,369,"74,439",7/25,"82,949","27,907,648"
,45,"73,843","237,620","65,151","226,010",95.11,335,373,"75,710",8/28,"84,334","28,989,184"
,46,"74,856","234,182","72,447","227,329",97.07,364,417,"82,242",8/ 4,"93,966","32,298,295"
,47,"76,295","233,055","74,818","228,813",98.18,370,414,"84,458",8/24,"94,307","33,426,632"
,48,"97,226","298,555","93,272","286,345",95.91,362,429,"89,625",12/31,"103,400","34,873,302"
,49,"99,699","301,365","96,368","290,667",96.45,342,395,"98,785",12/31,"114,700","36,056,600"
,50,"102,409","305,665","98,948","294,692",96.41,348,416,"102,159",9/ 4,"122,300","37,390,200"
,51,"104,655","309,142","101,157","298,169",96.45,345,423,"102,722",7/23,"125,700","37,493,400"
,52,"106,652","311,819","103,154","300,846",96.48,341,400,"102,601",7/27,"120,200","37,449,200"
,53,"108,700","313,780","105,202","302,807",96.50,357,450,"108,245",8/ 2,"136,300","39,509,500"
,54,"110,267","315,684","106,769","304,711",96.52,339,421,"103,504",8/17,"128,500","37,882,400"
,55,"111,845","317,390","108,347","306,417",96.54,324,378,"99,742",8/21,"116,400","36,405,900"
