,部　　数,総　　　計,組　　頭,部　　長,常,,,備,,,予　　　　　　備,,
,,,,,小　　頭,運転手,機関手,調馬手,消防手,計,小　　頭,消防手,計
明治27,５,251,１,５,-,-,-,-,-,-,10,235,245
28,●争●,●●●,●●●,●●●,●●●,,●●●,●●●,,●●●,●●●,●●・,●●●
29,●●血,●●●,●●●,●●●,●●●,●●●,●●●,■●●,●●●,●●●,●●●,,●●・
30,,●●■,●●●,●●●,●●●,●●●,●申●,●●●,■●■,●●●,●●●,●●●,●●●
31,●●●,・●・,●●●,●●●,●●●,●●●,●●●,●●●,,●●●,●畆●,●●●,●●●
32,●●●,●●●,●●●,４●●,●●●,●●●,●●・,●●●,●●●,●●●,●●●,●●●,●●●
33,５,251,１,５,10,-,-,-,20,30,一,215,215
34,６,304,１,６,12,-,-,-,22,34,-,263,263
35,７,312,１,６,12,-,一一,-,22,34,１,270,271
36,Ｉ●●,,●●●,啣●犖,●●●,・●●,●●●,参●●,■●●,●●●,●●●,癨●●,●●●
37,８,326,１,６,13,-,１,１,22,37,１,281,282
38,７,251,,●●●,,●●・,●●●,●●●,●●●,●襴●,●●●,,●●●
39,７,251,●●●,●■齒,●●●,■●■,●●●,●●●,●●●,●●●,●●●,●■●,●●●
40,７,322,●●●,●●●,●■●,●●●,●●●,●●●,,●●●,●昏●,●●凖,●●襴
41,７,349,●●●,●●●,●●●,●●●,●●●,●●●,●●４,φ●●,,●●●,●●●
42,７,339,,●●●,・●●,・●・,●●●,●●●,,●●●,●●●,●●●,●●●
43,６,252,●●●,●●●,■■●,●●●,●●●,●●●,●●●,●●●,■●●,●●●,●●●
44,６,252,●●●,●●●,●●●,●●●,●●●,●●●,●衂●,●●●,●●●,●●●,■●●
大正１,８,265,１,６,16,-,４,４,42,66,１,191,192
２,５,234,１,５,17,-,９,５,48,79,９,140,149
３,５,240,１,５,19,-,６,６,54,85,９,140,149
４,５,251,１,５,20,-,７,７,56,90,９,146,155
"＝
こ）",５,257,１,５,21,-,８,７,60,96,９,146,155
６,５,267,１,５,21,-,８,８,69,106,９,146,155
７,５,267,１,５,21,-,８,８,69,106,９,146,155
８,６,271,１,５,21,１,８,８,72,110,９,146,155
９,５,270,１,５,21,10,４,４,70,109,９,146,155
10,５,272,１,５,21,12,４,４,70,Ill,９,146,155
11,５,272,１,５,21,12,４,４,70,111,９,146,155
12,７,294,１,７,19,14,３,３,92,131,９,146,155
13,７,304,１,７,19,16,３,３,100,141,９,146,155
14,７,306,１,７,19,18,３,３,100,153,９,146,155
昭和１,７,308,１,７,19,20,３,３,100,145,９,146,155
２,７,307,１,７,20,24,４,-,96,144,９,146,155
３,７,307,１,７,19,25,３,-,97,144,９,146,155
４,７,307,１,７,19,25,３,-,97,144,９,146,155
５,７,307,１,７,19,25,３,-,97,144,９,146,155
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
