,"出　　火　　場　　所

職　　・　　氏　　名",原　　因,出火時刻,鎮火時刻,延焼中の風位風速,,焼失棟数,焼失戸数,"り　災

町　数","損　害


額（千円）",備　　　　　　　　　考
,,,,,風　位,平均風速,●●●,105,●●●,●●●,俗に地金火事という
安永8 10,弁天町古地金買治郎助,不明,PM 12:00,不明,不明,●●●,●●●,350,●●●,●■襴,当時の全戸数のほぼ半数
文化3 10,弁天町河岸市店青山,不明,PM　1:00,不明,北西,●●●,●●二,872,７,●●●,俗に脱走火事という
明治２　５,弁天町弁天砲台,放火,AM 11:00,不明,東,●●●,●●●,"1,123",●●●,●●●,俗に切店火事という
４　９,山上町切見世長屋,たばこの吸殻,AM　1:00,不明,北西,●●●,●●・,"1,314",10,●●●,俗に家根屋火事という
６　３,豊川町,不明,AM　O:00,不明,西,,224,434,４,●●●,
８　４,蓬莱町,不明,PM　3:00,不明,東,●●●,●●●,954,13,●●●,焼け跡は大々的な区画整理実施
11 11,鰭澗町,不明,AM　2:15,不明,北西,●●●,●●●,"2,326",33,●●●,焼け跡は大々的な区画整理実施、焼死者多数
12 12,堀江町魚市場,放火,PM　8:30,翌朝,東,●●●,●●●,132,２,●●●,恵比須、末広町～部へ延焼
18　5,恵比須町,不明,AM　4:00,不明,東,,●●●,482,２,●●●,地蔵町99戸、西川町383戸
20　5,西川町馬車会社物置,不明,PM　1:40,不明,東,4.4,●●●,228,●●●,●●●,
28 11,鶴岡町合羽店,不明,AM　3:15,不明,西,4.4,●●●,117,●●●,●●●,
28 11,西川町,不明,AM　2:15,不明,南東,5.2,●儚●,"2,280",10,"2,348",俗にテコ婆火事という
29　8,弁天町,放火,AM　O:30,AM　4:30,東,7.8,●●●,"2,494",５,●●●,
32　9,豊川町酒店,不明,AM　9:40,PM　1:00,西,3.0,●●●,142,●●●,●●●,
33 11,東川町,不明,AM　2:00,不明,西,6.7,・●●,199,３,●●●,死者１名
34　4,若松町雑貨店,不明,PM　3:00,不明,西,6.7,65,108,●●●,●●●,
35　5,東川町,不明,PM　3:00,不明,南東,2.6,●●●,396,●●・,●●●,
35　6,鶴岡町,不明,AM　2:30,不明,東,5.5,●●●,"12,390",34,"31,148",り災面積40万坪、死者８名
40　8,東川町石けん製造場,過失,PM 10:20,AM　9:25,東南東,16.8,65,140,１,30,
44　3,海岸町,洋燈転落,AM　2:20,AM　3:50,北西,●毳●,320,733,４,226,
45　4,音羽町,機械摩擦,PM　2:20,PM　4:10,西,14.3,572,"1,532",６,635,
大正２　５,若松町,たばこの吸殻,PM　1:50,PM　5:00,西南西,15.0,94,277,１,40,
２　５,東雲町,提燈,PM n:10,AM　1:10,東,7.2,,849,５,289,
３　４,蓬莱町,臚火,PM 11:40,AM　2:45,東,17.5,420,673,４,282,
3 12,鰭澗町,炬燵,AM　O:15,AM　2二00,北西,13.2,942,"1,763",７,700,
５　８,旭町白玉製造所,乾燥室,PM　3:50,PM　6:00,東,●●●,"1,309","2,141",13,"17,799","焼失区域152,830坪、り災人口10,996人"
10　4,東川町菓子製造所,竈,AM　1:50,AM　8:00,東,10.1,"11,105","22,667",40,"1,240,000","死者2,166、　重傷者2,318
.IstE A-･ ｊｌＱりｎｔ＿　　／４戸“> i nr>-rr↓a冫丶"
昭和９　３,住吉町,"家屋倒壊による炉火
ａｓ",PM　6:53,AM　6:00,南南西,24.2,169,384,●●●,"1,531",抄t:弌L田t貝４１Ｕ．に)ぴiia　y笊ご/1乙ｏﾉこ7J↑ノ
20　7,駒止町,"ﾉliE仄
空襲",PM　3:05,PM　6:00,西,10.0,36,・●●,●●●,"46,297","焼失面積1,439坪(4,757.3㎡）"
29　5,湯川町,不明,AM　1:05,AM　3:30,不明,●●嗇,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
