,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,発　　　生,,焼　失　戸　数,,焼　失　棟　数,,,焼　失　坪　数,,損　　害　　額　（円）,,
,,"出　火

度　数","小　火

度　数",全　焼,半　焼,住　　宅,,非住宅,ふ4-　　f&9,-4μjx-ぶ,ＸＩ,・4･-,プ　-ムｋ
,,,,,,全　焼,半　焼,全半焼,4　-●,７厂ＬＬ￣Ｕ,卩１,XX=7･･,Ｕ　ノ　1LS
,明治35,14,●●●,"-
　５","一
55",-,"一





●●",●Ｉ●,"-
6，","一
735",●●●,●二●,●●●
,36,29,●●■,１,39,,●●,φ●蕃,1，,325,●●●,●●●,●●●
,37,40,,,93,,●●,,１，,147,●●●,●●●,●●●
,38,59,,１,31,,●●,●二●,3，,)24,,二●●,●●●
,39,16,●●●,１,11,,●・,●●●,１，,r35,,●蕃●,
,40,18,●●●,"12,7",S9,,●●,●●●,"166,",571,●●●,●●●,●●●
,41,14,●●●,１,S8,,●●,・●●,3，,299,●●●,,
,42,10,,,55,,●●,,,398,●二●,,●●●
,43,８,●●●,,39,,●●,●●●,１，,227,●●●,,
,44,13,●●●,２,12,,●●,■■・,4，,413,●●●,,●●●
,大正１,10,40,７,76,４,DO,●●●,"11,117",●●●,"281,232","115,940","165,292"
,２,20,70,"1,9",36,７,42,●●●,"41,200",●●●,"702,191","470,274","231,917"
,３,21,72,"2,6",〕9,９,35,,"25,039",，●●,"790,490","469,758","320,732"
,４,６,41,,92,,59,●●●,"2,123",,"26,253","13,605","12,648"
,５,10,29,"1,8",55,９,94,●●●,"13,680",●●●,"683,950","341,911","342,039"
,６,11,29,,42,,30,,980,●●●,"31,116","7,191","23,925"
,７,９,31,１,〕1,,42,●●●,"1,639",曾●●,"26,088","13,578","12,510"
,８,14,27,１,51,,75,,"3,493",●●●,"371,565","47,521","324,044"
,９,16,22,,51,,31,●●・,"1,961",●●●,"888,321","295,671","592,650"
,10,20,36,"2,1",21,"1,3",54,●●●,"55,621",●●●,"18,709,677","8,786,444","9,923,233"
,ｎ,ｎ,36,,96,,50,,"1,174",●●●,"175,092","43,991","131,101"
,12,13,38,,58,,39,●●●,736,●●●,"30,110","16,630","13,480"
,13,16,58,133,21,,99,●●●,"8,318",●●●,"972,507","559,650","412,857"
,14,24,56,66,４,,53,●●●,"2,846",●●●,"178,816","109,363","69,453"
,昭和１,18,55,27,７,29,18,●●●,●・二,●●●,"336,777","90,229",246.548
,２,14,54,35,34,20,21,,●●●,,"50,691","31,584","19,107"
,３,13,28,69,20,31,15,●●●,●二●,●●●,"81,477","28,472","53,005"
,４,29,33,88,44,33,33,●●●,●●●,●●●,"74,923","25,930","48,993"
,５,18,42,30,15,13,14,●●●,●●●,●●●,"27,202","12,843","14,359"
,６,,,,,,ｌ●●,●●●,●●●,■●●,●●Ｓ,,
,７,■■・,●●●,●●●,●●●,●冷●,■●●,●●●,●曾●,,,●●●,
,８,●●●,滷・■,"●●●
-",一,"●●●

-","●●●

一",●●■,●●●,●●●,●●●,●●●,●●■
,*9.3.21,●●●,,"22,6",52,"9,5",31,"1,571","321,196","36,352","123,908,327","36,535,915","87,372,412"
,９,30,36,83,28,54,20,12,"2,432",341,"102,309","33,538","68,771"
,10,26,34,25,11,17,９,12,●●●,,"85,485",,●●●
,11,24,27,39,43,19,31,16,"1,600","1,019","190,535","57,235","133,300"
,12,15,52,８,17,５,10,４,440,81,"8,700","3,996","4,704"
,13,20,29,76,29,33,17,８,"2,061",43,"214,716","78,565","136,151"
,14,17,34,42,28,24,19,３,958,90,"57,084","28,226","28,858"
,15,20,35,74,14,36,11,10,"1,693",142,"196,608","76,964","119,644"
,16,25,30,11,10,９,９,18,734,"1,443","439,008","230,985","208,023"
