,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,発　　　生　　件　　　数,,,,,&.　αX　　しふ-,,,tn <≪　亅ll_　44如,,,-･1一一-,・一一一一,,
,,火　　　災,,非　火　災,,,ノ　　ノヽ･　　g･,,,ノ　jべ、Lだ　･r口,,,ZyU/丶LmJti丶,回X9,-ｋ,4＝1・
,,建　物,その他,火事騒,その他,計,全　焼,半　焼,部分焼,全損,半損,小損,(㎡),(千円),／Ｕ今ゴ,に口
,昭和23,"-
　７","一
１",●●●,,●卜●,,●●●,・●●,●●●,●●●,,"11,748","47,819",●春●,●●●
,24,６,９,,,,12,８,・●●,14,23,●Ｉ●,"4,759","15,080",,●・●
,25,９,３,●●●,●●●,●●●,12,20,,12,19,●●●,"4,937","24,878",●■●,■哈■
,26,８,〕,●●●,●●●,●●●,６,14,●●●,７,27,,"4,138","17,731",●●●,
,27,９,「,●●●,●蕾●,●●●,11,11,●●●,33,19,●●●,"6,161","35,629",,●●●
,28,９,Ｌ,70,63,224,13,13,●●●,23,19,,"2,607","22,503",４,４
,29,18,３,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,,"7,329","69,907",●●慟,
,30,13,１,72,95,298,13,26,●●二,13,26,φ●●,"3,290","22,803",10,14
,31,16,Ｌ,94,127,382,18,46,●●●,40,70,●●●,"3,287","45,634",６,８
,32,11,"＝
）",100,107,322,３,28,●●●,25,29,,"1,576","24,024",２,６
,33,13,２,●●●,●●●,132,,●●●,二卜●,●，●,●●●,●●●,"4,814","54,354",●●●,●●争
,34,ｎ,３,117,147,377,７,32,,12,45,,"2,847","25,685",１,６
,35,９,Ｌ,114,149,354,８,18,54,30,40,39,"3,276","33,996",９,15
,36,10,３,92,110,310,18,38,64,65,58,33,"4,164","42,318",５,７
,37,７,１,143,120,337,12,19,41,25,39,27,"1,983","14,833",１,12
,38,６,「,177,141,385,５,19,36,18,27,26,"2,228","11,229",３,10
,39,７,１,169,187,430,６,42,27,33,29,34,"2,283","21,976",７,11
,40,８,３,164,-,252,16,33,37,32,22,46,"3,455","26,969",５,９
,41,６,"－
）",163,234,462,７,22,29,20,18,30,"1,784","12,674",２,21
,42,58,15,161,243,477,21,30,39,32,22,57,"5,700","152,364",３,11
,43,69,14,119,239,441,13,37,40,21,17,36,"3,551","42,522",２,32
,44,67,15,144,237,463,20,18,48,47,12,64,"4,803","91,744",５,28
,45,77,28,129,294,528,18,19,54,24,10,42,"5,329","205,322",●齒●,21
,46,78,29,104,302,513,15,14,69,27,17,47,"1,754","55,162",４,10
,47,101,46,108,350,605,22,21,92,55,14,78,"4,560","123,691",11,37
,48,113,37,103,238,491,14,18,104,50,11,82,"3,241","80,060",４,26
,49,153,56,105,214,528,16,25,140,38,19,147,"4,214","197,338",ｎ,43
,50,152,74,17,187,430,19,18,130,14,ｎ,100,"2,869","52,189",５,23
,51,127,101,３,281,512,25,19,105,46,17,95,"6,357","148,146",７,25
,52,120,43,４,390,557,15,24,96,40,21,93,"3,610","112,588",６,26
,53,106,59,３,ｌ,537,11,22,87,42,21,73,"6,203","170,890",９,29
,54,76,29,３,!8,433,12,ｎ,64,17,15,33,"1,624","86,859",４,16
,55,89,33,３,２,454,７,21,73,31,22,57,"2,147","118,220",５,13
