,コ　レ　ラ,,赤　　　痢,,腸チフス,,発疹チフス,,ジフテリア,,痘　　　瘡,,ペ　ス　ト,,猩　紅　熱,,パラチフス,,流行性脳脊髄膜炎,,日本脳炎,,急性灰白髄炎,
,患　者,死　亡,患　者,死　亡,患　者,死　亡,患　者,死　亡,患　　者,死　　亡,患　者,死　亡,患　　者,死　亡,患　　者,死　亡,患　　者,死　亡,患　　者,死　亡,患　　者,死　亡,患　　者,死　　亡
明治12,-,-,-,-,７,１,３,１,３,１,●嗇●,●●●,●●●,,●●●,●●●,●●●,,●●●,●●●,●●曇,●●●,●●●,
13,-,-,-,-,６,１,-,-,１,１,●●●,●●●,●●●,●●●,,,■●■,●●●,●●●,●●■,,●●●,●●●,■●●
14,-,-,-,-,-,-,-,-,-,-,●●●,●●●,●●●,●●●,,●●●,●●●,●●●,●●●,●■●,●●凖,●●●,●●●,●●●
15,203,145,-,-,１,１,-,-,２,２,●●●,●●●,●●●,●●●,,●●●,●●●,●●●,●●●,●●●,●●●,,●●●,●●●
16,１,,-,-,５,■●●,-,-,-,-,-,-,,,,,,,,,,,,
17,・●●,●●●,●●●,●●●,●●●,●・●,●●●,●●●,●●●,●●●,●●●,●●●,●，φ,二●●,●●●,●●●,,●●●,,●●●,●●●,,●●●,●●・
18,●●●,●●●,■●●,●●●,●凖二,●●●,●●●,●●●,●●●,●●●,●●●,●慟●,●●・,●●●,●・●,,,●●●,●●●,●●●,●●●,●●●,争争●,●●●
19,"1,022",846,-,一,28,４,１,-,２,２,"1,247",315,●●●,●●●,,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●
20,１,-,-,-,16,６,-,-,５,３,192,83,,,,,,,,,,,,
21,-,-,-,-,36,４,-,-,２,２,-,-,●●●,,,,,,,,,,,
22,-,-,-,-,31,14,２,１,３,２,-,-,,●●●,●●●,●●●,●●●,●●●,●●●,ゃ●φ,,●●●,●●●,
23,２,２,-,-,30,11,-,-,３,３,-,-,●●●,●●●,●■●,●●●,,●●●,●●●,●●●,,●●●,●・●,
24,-,-,-,-,38,12,１,１,12,９,98,31,●●●,●曇●,,Ｉ●ｌ,４●●,●●●,●●●,●考●,●●●,,●●●,●●●
25,１,１,３,-,68,23,-,-,15,13,"1,007",382,●●●,●二●,,,●●●,●●●,●・●,●●●,●●●,●●●,,●・●
26,一,-,-,-,39,10,-,-,45,30,315,120,●●●,●●●,●●●,●●●,二●●,●●●,●●●,●●●,●●●,●●畊,●●●,齒●●
27,●●●,●●●,●●●,●●●,●●●,●●●,二●●,,,・・●,●●●,●●●,,●●■,●●●,●●●,●●●,●●二,●●●,●●■,,●●●,,●●●
28,●●●,●●畢,僵●●,●●二,●●●,●●●,●●●,●●●,●●●,,●●●,●●●,●●●,■●●,●●●,●●●,●●●,●●４,●●●,●●・,,●●●,,
29,一,-,16,５,43,11,-,-,43,13,９,１,,,,,,,,,,,,
