,第　　　　　　　一　　　　　　　期,,,,,,,,第　　　　二　　　　期,,,,第　　　二　　　期,,,,通　　　　　　　　年　　　　　　　　計,,,,,,,
,公　　　種　　　痘,,,,私　　種　　痘,,,未　種,公　　　種　　　痘,,,,私　　種　　痘,,,未　種,公　　　　種　　　　痘,,,,私　　種　　痘,,,未　種
,善　感,不善感,未　了,計,善　感,不善感,計,痘　者,善　　感,不善感,未　了,計,善　感,不善感,計,痘　者,善　　感,不善感,未　了,計,善　感,不善感,計,痘　者
大正１,"2,810",231,●●●,"3,041",25,-,25,271,300,"1,954",,"2,254",１,-,１,10,"3,110","2,185",●●●,"5,295",26,-,26,281
２,"3,116",347,●●●,"3,463",37,５,42,203,777,"3,166",●●●,"3,943",１,３,４,39,"3,893","3,513",●蕃●,"7,406",38,８,46,242
３,"1,551",380,嘯●●,"1,931",29,３,32,●ａ●,774,"3,154",●●●,"3,928",-,３,３,●●●,"2,325","3,534",●●●,"5,859",29,６,35,●●●
４,"2,981",294,●●●,"3,275",74,８,82,237,"1,878","1,898",●●●,"3,776",２,２,４,９,"4,859","2,192",●●●,"7,051",76,10,86,246
５,"3,192",172,二●●,"3,364",140,12,152,3n,"1,112","2,050",,"3,162",４,５,９,14,"4,304","2,222",二ａ●,"6,526",144,17,161,325
６,"2,538",966,●●●,"3,504",96,12,108,194,865,"3,088",●●■,"3,953",６,８,14,25,"3,403","4,054",●●●,"7,457",102,20,122,219
７,"3,381",405,●●●,"3,786",78,10,88,328,"3,261","1,583",●齒●,"4,844",２,４,６,82,"6,642","1,988",●●●,"8,630",80,14,94,410
８,"2,047",17,●●●,"2,064",69,４,73,63,"2,022","1,776",,"3,798",２,４,６,72,"4,069","1,793",●●●,"5,862",71,８,79,135
９,"1,195",76,113,"1,384",27,３,30,●●●,340,"3,493",54,"3,887",-,-,-,●●●,"1,535","3,569",167,"5,271",27,３,30,-
10,"2,725",110,238,"3,073",74,１,75,泰●●,451,"5,309",84,"5,844",-,-,-,●●●,"3,176","5,419",322,"8,917",74,１,75,-
11,"4,322",64,257,"4,643",136,-,136,●●●,"2,386","1,292",223,"3,901",-,-,-,●●●,"6,708","1,356",480,"8,544",136,-,136,-
12,"4,153",142,441,"4,736",148,５,153,●４●,621,"1,148",６,"1,775",20,-,20,,"4,774","1,290",447,"6,511",168,５,173,-
13,"2,398",71,158,"2,627",568,-,568,526,696,"4,888",-,"5,584",-,-,-,41,"3,094","4,959",158,"8,211",568,-,568,567
