,明治29,明治30,明治31,明治32,明治33,明治34,明治35,明治36,明治37,明治38,明治39,明治40,明治41,明治42,明治43,明治44
総数,"1,660","2,360","1,991","1,781",奉●●,"2,059","2,425","1,972","2,413","2,266","2,269","2,458","2,483","2,624","2,445","2,261"
伝染性病,178,340,234,237,●●●,205,385,219,313,285,223,293,278,274,53,49
発育及栄養的病,194,178,214,175,●●●,183,175,248,226,199,258,278,276,312,329,284
皮膚及筋病,20,24,10,13,■●●,11,29,12,21,７,20,21,９,28,23,35
骨及関節病,10,12,17,16,●●●,15,21,19,20,５,13,21,21,６,22,７
血行器病,104,96,76,94,・●●,154,201,146,135,161,134,142,149,145,157,249
神経系及五官病,383,505,400,481,●●●,525,566,515,564,568,555,617,643,588,669,540
呼吸器病,350,675,625,353,●●●,517,412,426,631,578,605,625,598,673,599,575
再　（肺　病）,246,285,236,69,●晶亂,240,172,268,296,409,,●●●,●●●,争●●,●●・,●●●
掲　（其　他）,104,390,389,284,●二●,277,240,158,335,169,●●・,●●●,●●●,●●●,●●盞,●●●
消化器病,313,431,305,339,●●●,334,432,289,325,284,298,284,371,446,423,357
泌尿及生殖器病,39,42,44,41,呷●●,60,113,10,88,90,88,91,79,97,107,110
外襲性変死,24,25,44,27,●●●,38,27,49,50,43,48,50,38,44,43,41
中毒症,４,-,７,-,,１,２,２,９,30,１,２,１,３,７,４
原因不詳,41,32,15,５,●・●,16,62,37,31,16,26,34,20,８,13,10
,,,,,,,,,,,,,,,,
