,大正１,大正２,大正３,大正４,大正５,大正６,大正７,大正８,大正９,大正10,大正11,大正12,大正13,大正14,昭和１,昭和２,昭和３,昭和４,昭和５,昭和６,昭和７,昭和８,昭和９,昭和10,昭和ｎ,昭和12,昭和13,昭和14,昭和15,昭和16,昭和17
肺炎及び気管支肺炎,192,188,202,240,341,305,697,483,756,382,223,425,297,345,250,371,340,301,296,306,321,419,418,299,343,60,253,239,323,●●・,389
肋膜炎,,,,●●・,●・●,,●●●,●●●,●●●,●●●,●●●,●●●,●●●,,66,74,89,122,93,27,45,-,二●●,,●ｌ●,●●●,●●●,,●●●,●●二,
その他の呼吸器の疾患,75,24,84,102,138,154,132,149,37,123,123,177,129,n5,39,50,41,46,51,78,59,-,84,82,29,380,145,137,140,,116
胃の疾患,247,153,214,171,222,214,274,241,236,216,222,144,82,42,39,42,43,41,58,107,158,102,107,99,150,90,42,102,64,,63
下痢及び腸炎,34,37,15,42,69,41,27,14,92,no,83,190,199,261,268,111,81,81,77,46,55,761,313,216,276,241,357,366,306,,271
霍乱,-,-,-,-,-,１,-,-,-,-,-,-,一,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,-
虫様垂炎及び腸骨窩峰巣織炎,,,,54,49,51,36,30,12,-,２,７,３,13,13,13,16,８,６,５,４,９,４,11,１,７,12,17,13,●●・,17
脱腸及び腸管壅塞,９,68,19,38,61,47,40,33,46,６,５,９,-,６,13,12,７,７,５,１,３,16,13,11,12,13,21,15,11,●●・,11
肝硬変,８,26,23,18,12,17,23,８,12,６,９,12,13,５,８,11,５,７,５,７,３,８,11,７,７,７,７,10,６,●●・,５
腹膜炎（出産に因するものを除く）,44,79,80,10,11,９,84,92,90,-,112,n6,83,-,114,102,99,112,57,39,39,,,,,●●●,・●●,●ｌ●,●●●,,・●●
その他の消化器の疾患,,,,112,149,134,188,168,193,17,215,259,24,-,●●●,●●・,●●●,●●●,暈●●,●●●,●●●,33,92,107,36,85,121,105,99,,111
腎臓炎,94,102,86,106,164,141,200,175,148,173,164,190,154,159,174,206,169,238,167,213,188,237,161,162,204,127,161,178,164,,133
再（急性腎臓炎）,,,,,,,,●●●,,,●●●,●●●,●●●,,●●●,●●●,,,,●■・,●●●,14,18,18,23,17,24,25,29,●●●,57
(慢性腎臓炎),,,二●●,■・・,,■血・,,・●●,●●●,●●●,,●●●,,●●●,●●●,●●●,,,,,,48,38,30,38,41,49,58,44,,20
掲（急性慢性の別不明の腎臓炎）,●●●,,,●●●,,●●曾,,●●●,,,●嘯●,,,,,●●●,●●●,嘯●・,,,,175,105,114,143,69,88,95,91,二●●,56
その他の泌尿生殖器の疾患,７,７,15,34,20,42,49,25,55,30,67,66,83,13,３,13,９,７,８,６,13,-,-,９,25,55,14,12,８,,20
産蓐熱,５,７,７,６,６,８,17,10,８,６,14,８,９,７,10,７,９,８,４,４,16,14,１,６,-,５,４,４,４,●●●,４
その他の妊娠及び産に因する疾患,18,１,Ｕ,２,２,１,１,２,３,15,３,５,８,10,８,７,６,５,10,12,９,17,11,14,21,12,11,８,９,●●●,８
