,昭和23,昭和24,昭和25,昭和26,昭和27,昭和28,昭和29,昭和30,昭和31,昭和32,昭和33,昭和34,昭和35,昭和36,昭和37,昭和38,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和50,昭和51,昭和52,昭和53,昭和54,昭和55
死亡者総数,"3,005","2,722","2,332","2,276","1,976",2.020,"2,606","1,980","1,931","2,008","1,785","1,832","1,822","1,785","1,866","1,550","1,693","1,813","1,726","1,802","1,800","1,828","1,830","1,731","1,722","2,066","2,029","1,985","2,002","1,985","2,146","2,012","2,062"
全結核,552,627,588,456,355,292,275,224,212,192,149,147,147,130,127,103,93,93,77,64,53,56,50,49,26,45,38,33,23,28,21,23,18
悪性新生物,170,164,199,182,193,182,193,213,230,239,245,263,267,270,270,274,262,298,303,349,302,329,325,328,357,399,424,417,473,423,485,486,523
再掲（胃の悪性新生物）,,●●●,●●●,●■●,,,,,■●●,■●・,,・●●,,●●●,●●●,●４●,暈●●,●●●,●●●,●●●,113,127,121,121,125,137,153,121,166,142,144,140,141
中枢神経の血管損傷,232,259,267,317,313,363,352,388,380,379,413,433,399,446,483,345,428,473,443,492,513,451,405,430,450,541,511,453,469,490,462,457,444
心臓の疾患,146,157,165,191,146,172,170,178,205,231,195,212,245,218,245,177,208,250,240,231,269,314,287,261,281,301,327,343,334,354,394,381,396
高血圧症,,,,,・■●,,,●●曾,,●●●,●●●,,●●●,●●●,●●●,45,39,43,70,63,48,45,59,49,58,68,52,57,53,51,56,41,40
肺炎および気管支炎,321,249,138,151,120,126,77,84,91,124,106,n3,103,88,92,65,50,92,72,87,74,84,113,88,95,111,93,109,116,88,1n,80,96
胃・十二指腸・大腸・腸炎,266,207,158,115,95,79,78,64,90,82,75,56,45,44,39,25,29,37,22,20,●二●,●●●,●●●,・●●,,,,●●●,,●●●,●●●,●●●,●●●
腎炎およびネフローゼ,,81,51,48,57,56,,,,●●●,43,,,,●●●,■香春,４●●,●●●,,,,,・●●,,,,,●■Ｓ,●●●,●●●,,●Ｉ●,
先天性弱質,116,82,50,,66,,,,,,,39,,,,●Ｉ●,●●●,,,,,,,,,●●●,●●●,,孝●●,●Ｉ・,,,●●●
心臓まひ,,●●●,,●●●,Ｉ●●,,45,54,58,54,,,,,40,●●ｙ,,,,,●二●,●・●,,●●●,,,,●●●,,●●●,,,
老衰,120,123,112,131,141,130,134,153,166,184,91,111,104,99,120,101,109,88,97,76,64,66,75,61,51,56,73,71,62,61,67,71,65
不慮の事故,,嘯■●,77,67,69,71,456,114,75,85,84,84,102,89,80,70,72,98,75,84,88,79,73,77,65,82,56,67,55,60,82,69,54
再掲（自動車事故）,●●●,φ●●,,,,,,,,,,●・●,齒・・,,●二●,●●●,,,●●●,■・■,●●●,●●●,●●●,39,22,45,15,25,18,21,29,28,14
自殺,,●●二,二●●,64,，●●,52,68,72,57,60,65,47,47,48,43,42,31,20,26,32,●●●,●●●,,,,,,,●●●,■・●,●●●,,●・●
その他,"1,082",773,527,554,421,497,758,∠136,367,378,319,327,363,353,327,277,372,321,301,304,389,404,443,388,339,463,455,435,417,430,468,404,426
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
