,明治43,明治44,大正１,大正２,大正３,大正４,大正５,大正６,大正７,大正８,大正９,大正10,大正11,大正12,大正13,大正14,昭和１,昭和２,昭和３,昭和23,昭和24,昭和25,昭和26,昭和27,昭和28,昭和29,昭和30,昭和31,昭和32,昭和33,昭和34,昭和35,昭和36,昭和37,昭和38,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45
総　　　数,"2,445","1,882","2,537","2,387","2,671","2,413","2,893","3,028","4,337","3,318","3,739","3,403","3,116","3,932","3,350","3,593","3,585","4,126","3,846","1,964","1,943","1,869","1,843","1,650","1,722","2,018","1,748","1,753","2,008","1,785","1,832","1,822","1,785","1,866","1,536","1,696","1,813","1,726","1,686","1,796","1,827","1,830"
O-1　才,６,677,623,153,13,541,726,205,288,702,899,903,781,"1,104",962,834,884,"1,031",845,,,,,,,,,,,,,,,,,,,,,56,55,65
1-2,254,６,280,128,47,261,369,98,45,183,254,459,397,530,219,337,220,438,367,"1,031",779,459,434,322,297,214,231,170,195,149,161,128,126,104,90,87,88,77,89,"５
４","６
８","5
10"
3-4,46,30,49,116,135,66,65,111,135,102,96,101,80,183,80,132,128,184,156,,,,,,,,,,,,,,,,,,,,,６,２,２
4-5,29,31,45,123,117,61,49,121,194,112,89,79,46,130,40,56,57,101,48,,,,,,,,,,,,,,,,,,,,,-,５,１
5-10,86,74,95,94,n4,116,135,178,147,124,118,49,26,66,30,49,26,57,40,87,54,56,42,34,27,29,35,23,29,24,23,13,11,15,６,10,５,９,７,14,11,８
10-15,54,74,73,163,132,71,87,140,235,142,107,128,66,125,72,87,101,102,111,50,47,34,28,24,17,22,21,12,19,16,18,18,16,13,７,11,10,６,８,２,５,４
15-20,121,89,109,155,175,125,150,239,260,187,243,120,114,125,100,86,101,92,99,120,99,83,77,46,35,49,38,30,28,29,31,23,27,21,12,13,16,23,16,19,16,15
20-25,94,108,122,187,208,128,151,227,334,216,286,202,220,187,188,205,197,225,208,153,164,146,114,84,62,118,56,55,63,48,35,36,37,26,23,34,23,17,20,24,24,17
25-30,90,75,104,153,269,108,111,238,556,247,225,187,209,251,174,209,237,221,260,115,119,124,90,78,76,173,77,66,57,58,51,58,49,33,38,36,33,28,30,33,24,21
30-35,107,94,94,133,233,119,98,146,451,199,204,135,145,156,132,157,159,174,192,105,106,｀84,79,65,59,131,64,50,63,53,49,49,48,43,34,30,25,29,28,34,26,33
35-40,93,82,102,125,197,109,108,119,481,189,179,n6,n5,140,126,115,122,132,142,105,112,101,70,82,55,111,67,52,52,49,47,46,49,48,39,39,56,38,48,33,27,34
40-45,94,92,79,105,180,114,95,190,395,153,161,129,108,145,n4,136,103,117,122,127,106,95,90,76,68,113,69,69,84,56,57,47,45,60,48,45,44,46,76,66,72,61
45-50,78,70,84,103,172,83,108,161,243,127,138,126,121,146,117,117,111,116,121,119,123,H3,109,88,101,114,99,102,101,80,84,100,88,79,59,77,79,64,74,70,73,77
50-55,96,73,82,118,170,95,101,209,162,136,169,139,120,128,114,108,140,127,137,148,146,139,131,109,131,138,140,135,129,122,108,137,112,124,93,101,104,94,115,83,89,75
55-60,104,81,103,117,144,101,100,219,200,148,108,130,112,123,124,145,182,151,141,145,159,170,148,131,159,155,442,161,154,142,161,140,126,158,120,133,140,130,135,135,161,127
60-65,90,88,117,142,146,91,129,177,116,100,139,112,161,n6,149,141,154,167,150,167,180,156,190,168,193,162,193,208,200,173,198,172,190,164,163,159,217,184,180,194,177,188
65-70,78,70,70,155,118,105,99,119,29,111,132,135,127,150,147,136,151,166,163,178,180,186,201,182,196,182,177,222,186,202,220,192,188,237,199,216,225,232,243,231,253,241
70-75,,,,,,77,121,78,４,94,142,153,168,127,157,160,135,145,149,150,155,145,186,213,230,183,203,207,225,220,205,221,225,240,210,214,239,246,239,264,285,279
75-80,,,,,,43,63,26,-,54,90,135,147,139,139,165,155,165,157,108,101,146,163,147,160,192,205,188,218,184,175,219,204,228,183,229,229,233,224,251,238,258
80-85,ｌｊＣ,１９∩,i n/i,-,,32,34,５,-,34,32,84,73,84,98,110,139,106,122,64,61,67,80,82,105,96,103,114,133,128,133,152,151,168,133,147,162,165,153,159,146,180
85-90,１ｑＪ,亠ａＵ,１こ741,-,Ｊ,10,43,-,-,19,13,35,41,47,47,62,51,73,71,20,26,15,32,33,41,42,49,44,52,39,58,59,77,83,54,99,90,76,90,86,86,99
90-95,,,,,,３,３,-,-,９,４,15,14,13,16,17,19,24,26,２,５,５,11,８,７,６,８,13,｜　りｎ,１９,１０,１り,１ご,りり,り匚,1 Q,ｑｊ,り∩,り７,24,33,22
95以上,,,,,,-,１,-,-,-,１,５,７,３,４,９,５,３,５,-,-,４,１,-,-,２,１,２,ｆ　乙Ｕ,１ａ,１０,１乙,１Ｊ,乙乙,乙Ｊ,１０,乙ｑ,乙;j,乙１,３,５,８
不　詳,２,-,６,-,３,-,-,-,-,-,-,-,１,３,-,３,３,-,ー,１,-,-,１,-,-,-,１,-,-,-,-,-,１,-,-,-,４,-,-,-,-,-
,,,,,,,,,,,,-,-,-,１,17,５,９,14,,,,,,,,,,,,,,,,,,,,,,,
総　　　数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-1　才,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不　詳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
