,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,病　院　合　計,,一　般　病　院,,特　殊　病　院,,-　-,歯　　科,４な々3( *7F!,ff　　Q嫐,≪ Sff
,,病　院　数,病　床　数,病院数,病床数,病院数,病床数,し/丶　　巾μ,医　　師,M'J mu,-‥･こ,/tl UM. Wμ
,明治　５,l(-),●●●,１,,-,・●●,,●●●,,,・●●
,６,1(-),●●嘯,１,,-,,,●●●,,蔘●●,
,７,1(-),●●●,１,,-,,,,,,
,８,1(-),●●●,１,●●●,-,・●●,,●●●,●●●,,●●●
,９,1(-),●●●,１,●●●,-,,,,,,●●●
,10,1(-),●●●,１,,-,,,●●●,,,
,11,2(-),●●●,２,,-,,,●●嘯,●■●,,
,12,2(-),,２,●●●,-,,,●●●,●●●,●●●,■●●
,13,2(-),,２,・●●,-,●●●,,●・●,・●●,●嘯●,●・●
,14,2(~),,２,,-,,,●●●,●●・,,■●●
,15,4(2),●●●,４,,-,,57,１,４,21,●●●
,16,4(2),●●●,４,,-,,78,●●●,,22,●●●
,17,●●●,,●●慟,,●●・,●●●,●血●,●●●,,●曾●,●●●
,18,5(3),,５,●二●,-,,62,,●●●,28,●●●
,19,4(2),●●●,４,,-,●●●,69,１,,42,●●●
,20,3(1),,３,,-,●●●,75,,,25,
,21,5(3),,５,●●４,-,●●●,78,,,28,
,22,5(3),,５,●●・,-,■●●,89,２,,９,
,23,5(3),,５,●●●,-,●・●,82,●●●,,27,
,24,7(5),,７,●●・,-,●●●,93,●●●,,53,
,25,7(5),●●●,７,●●●,-,●●●,76,,,34,
,26,6(4),血●・,６,,-,●●●,87,,５,42,●●●
,27,,●●●,,,,,●●●,,,・●●,
,28,,●●二,,,●●●,,,,,・■血,
,29,9(7),●●●,９,,-,,58,,５,49,
,30,7(5),●●●,７,,-,,73,,６,11,
,31,8(6),●●●,８,●●●,-,●●●,76,●●・,８,41,●●●
,32,9(7),●●●,９,,-,●●●,30,●●●,５,30,
,33,●呷●,●●●,●●●,,●●●,●●●,●●●,●●●,,,
,34,8(7),,８,●嘯●,-,●●●,81,２,５,41,●二●
,35,10(8),●●●,９,,１,32,84,２,６,44,
,36,11(9),●●●,10,,１,●●●,85,２,６,46,●●●
,37,11(9),,10,●●嘯,１,●●●,91,２,６,53,38
,38,13(10),,12,,１,,88,３,11,61,68
,39,13(11),・・●,12,●●蔘,１,●・●,88,５,９,57,74
,40,7(5),●●●,６,●Ｉ二,１,,141,５,12,63,70
,41,10(8),●●●,８,●●●,２,●●●,78,５,11,67,72
,42,18(13),●●●,15,,３,,90,５,14,75,76
,43,16(12),●●●,13,369,３,呷●●,94,６,14,74,150
,44,18(14),,15,396,３,●●●,100,６,15,92,132
,大正　１,19(15),●●●,16,427,３,,101,６,15,91,124
,２,19(15),嘯●●,16,449,３,,105,６,16,100,103
,３,19(15),●●・,16,385,３,●●●,113,９,20,117,119
,４,21(17),,18,512,３,●●●,118,９,20,130,63
,５,21(17),593(321),18,473,３,120,120,12,20,130,66
,６,21(17),嘯●●,18,463,３,●●●,145,26,19,68,74
,７,22(18),二●●,19,467,３,●●●,153,20,36,127,78
,８,23(17),,20,554,３,暈●●,160,52,52,186,79
,９,27(23),758(441),24,598,３,160,168,40,60,154,92
,10,22(18),,19,580,３,,145,41,37,144,98
,11,27(23),,24,727,３,,145,49,44,154,110
,12,31(27),●Ｉ●,28,796,３,,124,65,47,164,112
,13,32(28),●●●,29,829,３,,130,38,51,169,76
,14,33(28),"1,097(639)",29,846,４,251,144,46,51,175,72
,昭和　１,33(28),"1,063(605)",29,812,４,251,147,52,55,187,157
,２,33(28),"1,081(627)",29,834,４,247,147,54,55,192,145
,３,33(27),"1,106(615)",29,852,４,254,144,55,62,212,146
,４,30(24),996(508),26,745,４,251,151,61,64,224,198
,５,33(27),"1,169(629)",29,878,４,291,168,73,65,199,219
,６,34(28),"1,209(619)",30,868,４,291,166,75,65,2n,190
,７,35(29),"1,167(627)",31,876,４,291,153,70,67,214,150
,８,39(33),"1,209(669)",35,918,４,291,164,71,70,234,150
,９,16(10),721(235),12,431,４,290,157,69,73,238,154
,10,22(17),812(306),18,523,４,289,166,76,68,231,131
,11,27(22),895(401),23,618,４,277,163,78,70,233,165
,12,28(23),945(446),24,667,４,278,169,87,65,240,192
,13,27(22),986(491),23,708,４,278,140,76,68,237,226
,14,30(25),"1,121(580)",26,835,４,286,154,83,80,183,237
,15,32(27),"1,149(608)",28,863,４,286,155,85,81,183,257
,16,,●●●,,●●●,・■●,●●●,,●●■,,,●●●
,17,31(26),"1,186(634)",27,889,４,297,152,83,88,182,291
,18,29(25),"1,007(489)",26,744,３,263,144,77,90,185,339
