,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,病　院　合　計,,一　般　病　院,,特　殊　病　院,,一般診療所,,歯科診,IX冫宀ミ,歯　科,ぐＳｅ４１１４Ｘ,￥ｆ卜血,3=.3Hと￡ヨ,aコ〃44ヨ
,,病院数,病床数,病院数,病床数,病院数,病床数,所　数,病床数,療所数,廴/丶卩Ⅲ,医　師,7F･?IUH11』,-3･ぐ,yE･σマフlμ,Fq丶－y･入lμ
,昭和23,18,,,,,●●●,,,●●●,151,89,,125,■，春,18
,24,,,,,,●●●,,●●●,●●暮,●・●,●●●,●・●,,,●・・
,25,19,"1,264",17,"1,025",２,239,84,391,74,●●二,,●Ｉ曾,,■■・,●●●
,26,23,"1,554",21,"1,310",２,244,87,361,75,195,96,134,294,566,61
,27,23,"1,606",21,"1,357",２,249,89,371,78,201,102,,260,605,82
,28,23,,●●●,●●●,●●●,蕃齒●,95,,78,213,102,132,262,633,83
,29,●・枷,,●●●,,,,●・●,,●●●,,●●φ,,●●●,●・啝,●●●
,30,23,,,●●曾,,,115,,82,230,105,130,144,571,18
,31,,●●●,●●暮,,・●●,●●●,●●●,,●●●,,●●・,・●●,,●・●,・●●
,32,25,,,,二●●,,124,,83,227,102,139,126,658,16
,33,26,2.966,22,"2,264",４,702,129,641,88,240,109,135,126,651,16
,34,25,"3,120",21,"2,418",４,702,133,666,87,253,107,146,119,719,24
,35,27,3.292,24,"2,753",３,539,141,776,87,268,107,158,n9,820,26
,36,28,"3,435",●●●,"1,822",,"1,613",145,930,86,281,107,155,116,880,26
,37,28,"3,685",●●●,"1,994",,"1,691",145,947,85,274,106,158,n7,905,25
,38,27,"3,811",●●●,"2,098",●●●,"1,713",151,"1,007",86,280,107,158,112,907,26
,39,26,"4,218",,"2,270",,"1,948",143,995,86,302,107,159,110,"1,036",17
,40,27,"4,145",，・●,"2,455",●●●,"1,690",149,"1,061",86,307,108,170,117,"1,128",17
,41,28,"4,299",●●●,"2,538",,"1,761",166,"1,147",85,312,106,174,125,"1,226",21
,42,28,"4,361",●●●,"2,553",●春●,"1,808",175,"1,240",88,313,108,178,62,"1,111",27
,43,27,"4,497",●●●,"2,689",●二●,"1,808",181,"1,355",86,315,101,179,92,"1,170",23
,44,27,"4,546",24,"2,812",３,"1,734",190,"1,517",80,342,100,183,69,"1,226",24
,45,27,"4,588",24,"2,854",３,"1,734",191,"1,509",79,348,102,191,56,"1,227",25
,46,27,"4,856",24,"3,117",３,"1,739",193,"1,456",78,347,100,186,53,"1,267",27
,47,28,"5,084",25,"3,345",３,"1,739",195,"1,476",78,358,103,182,63,"1,376",27
,48,30,"5,637",27,"3,656",３,"1,981",212,"1,650",85,382,112,222,64,"1,533",34
,49,27,"5,776",24,"3,719",３,"2,057",213,"1,692",86,403,110,235,63,"1,638",34
,50,27,"5,755",24,"3,698",３,"2,057",217,"1,696",88,∠107,1n,235,63,"1,698",30
,51,29,"5,868",25,"3,904",４,"1,964",225,"1,684",90,418,111,242,67,"1,807",31
,52,29,"5,933",26,"4,085",３,"1,848",228,"1,533",90,416,n1,250,65,"1,905",32
,53,28,"5,930",26,"4,208",２,"1,722",234,"1,669",92,429,116,257,68,"1,996",33
,54,28,"5,930",26,"4,208",２,"1,722",238,"1,764",90,451,n1,275,62,"2,074",35
,55,28,"6,000",26,"4,278",２,"1,722",242,"1,737",91,462,116,291,72,"2,140",38
