,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,初　　　　　　　　　　種,,,再　　種　　以　　上,,,合　　　　　　　　　　　計,,
,,善　　　感,不　善　感,未種痘,善　　　感,不　善　感,未種痘,善　　　感,不　善　感,未種痘
,明治５,-,-,●●●,-,-,,ー,-,●●●
,６,-,-,●●■,-,-,●●●,-,-,●●●
,７,"1,571",429,,121,74,●●●,"1,692",503,●●●
,８,"4,927",394,,"3,893",-,,"8,820",394,●●●
,９,"6,138",102,,391,512,●●●,"6,529",614,●●●
,10,"1,227",31,●●●,57,224,,"1,284",255,
,11,"1,953",40,●●●,474,155,●●●,"2,427",195,
,12,"1,289",179,●●●,173,665,,"1,462",844,
,13,314,280,●●●,22,19,●●●,336,299,
,14,216,86,●●●,-,６,,216,92,●●●
,15,914,213,●●●,24,69,●●●,938,282,
,16,591,365,●●●,10,47,,601,412,●●●
,17,●●●,●●●,●●●,,●●●,●●●,,●●●,
,18,●●●,●●●,二季●,●●●,●●●,,●●●,●●●,●●●
,19,255,816,-,376,"8,887",-,631,"9,703",-
,20,34,30,●●●,-,302,●●●,34,332,
,21,170,90,●二●,22,92,●●●,192,182,●●●
,22,●●●,●●●,●●●,●●●,●●●,●●●,,●●●,●●●
,23,947,79,●●●,30,215,●●●,977,294,●●●
,24,●●●,●●●,●●●,,●●●,,●●●,●●●,
,25,365,113,●●●,97,"2,255",●●●,462,"2,368",●●●
,26,,,●二●,,●●●,,呷呷・,●●●,
,27,●●嗇,●●●,●●●,●●●,嗇●●,●●・,●●●,,●●●
,28,●●●,・●●,●●●,,・●●,●●●,,■●■,
,29,,●●●,●●●,,●●●,●■●,●●●,●●●,
,30,●●●,・・●,●●●,●●・,●●●,・●●,●●●,・●●,●●・
,31,●●●,●●●,●●●,,蕃●ａ,,●●●,●●●,●●●
,32,●●Ｉ,,●二●,,Ｉ●●,●●●,●●●,,
,33,●●●,●●●,●●●,,●●●,●●●,,,●●●
,34,956,270,-,287,"2,666",-,"1,243","2,936",-
,35,"1,006",410,-,203,"1,140",-,"1,209","1,550",-
,36,"1,636",343,18,"1,320","3,579",27,"2,956","3,922",45
,37,"6,597",410,55,"13,177","40,389","1,101","19,774","40,799","1,156"
,38,"1,547",319,12,"6,260","2,510",26,"7,807","2,829",38
,39,●●●,●●●,,,●●●,ｌ●二,"4,194","20,617",167
,40,ｉ●●,・●罍,●●●,●●●,●曾●,Ｉ●●,"2,081","5,544",22
,41,●●●,●●●,,・盍●,●●●,●●●,"3,638","42,275",８
,42,暮●●,●●●,,●●●,●●●,●●●,"2,182","22,225",-
,43,●●●,●●●,●●●,二●●,●●●,●●●,"5,130","1,237",-
,44,"4,039",529,188,374,"1,570",７,"4,423","2,462",195
