,,明治37,明治38,明治39,明治40,明治41,明治42
,総　　数,"2,313","2,273","2,269","2,444","2,483","2,624"
,1-5　才,"1,035",909,967,"1,071","1,123","1,162"
,6-10,66,96,118,97,106,96
,11-15,43,50,61,58,64,68
,16-20,107,87,n1,130,81,129
,21-25,137,122,n3,129,136,137
,26-30,105,121,129,102,103,118
,31-35,97,102,101,88,119,98
,36-40,97,84,67,86,104,90
,41-45,70,99,81,87,78,91
,46-50,70,88,83,83,74,80
,51-55,100,96,92,86,80,97
,56-60,92,108,74,110,108,103
,61-65,78,89,74,84,81,109
,66-70,61,57,50,65,78,89
,71-75,61,55,60,70,48,44
,76-80,57,50,43,44,54,50
,81-85,27,29,28,38,21,46
,86-90,10,14,８,12,13,13
,91-95,-,２,１,３,２,４
,96-100,-,-,-,１,１,-
,101-105,-,-,１,-,１,-
,不　詳,-,15,７,-,８,-
