,,昭和47,昭和48,昭和49,昭和50,昭和51,昭和52,昭和53,昭和54,昭和55
,総　　　数,"1,722","1,762","2,029","1,985","2,001","1,984","2,146","2,012","2,062"
,Ｏ　才,58,40,60,61,50,47,50,39,29
,"１
２","５
４","５
２","７
１","９
４","２
２","２
４","５
１","２
１","７
２"
,３,２,１,１,１,２,１,６,６,２
,∠1,？,１,９,-,１,５,５,-,３
,5-9,"－
５","－
14","－
４",７,"二
８","ヽ-
10","ヽ･
11",７,"－
９"
,10-14,４,４,10,11,９,４,11,６,２
,15-19,９,16,12,10,15,10,12,10,13
,20-24,18,17,22,16,11,８,８,９,15
,25-29,19,18,19,21,28,27,24,20,23
,30-34,21,22,30,32,20,28,26,29,24
,35-39,30,31,37,24,42,38,38,29,31
,40-44,61,61,57,62,52,53,40,55,50
,45-49,61,57,86,77,88,75‘,79,76,92
,50-54,79,74,86,80,90,94,87,104,95
,55-59,109,108,121,113,131,109,121,125,139
,60-64,175,157,181,177,162,185,197,157,148
,65-69,223,235,240,237,256,233,255,247,238
,70-74,248,257,326,320,319,291,309,296,296
,75-79,258,286,304,320,332,323,357,285,326
,80-84,183,187,250,236,225,248,283,314,285
,85-89,100,120,122,115,119,138,159,143,168
,90-94,40,39,37,45,32,39,48,46,57
,95以上,７,10,13,７,５,12,14,６,７
,不　詳,１,-,-,一,-,-,-,-,１
