,娼　　　　　　　　　　　　　　　　　　　　　　妓,,,,,,,芸　　　　　　　　　　　　　　　　　　　　　　　　　　　　　妓,,,,,,,
,計,18-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40歳以上,計,12-13歳,14-17歳,18-19歳,20-24歳,25-29歳,30-34歳,35-39歳
大正６,528,59,168,235,60,６,-,389,,139,69,95,39,19,16
７,599,,●●●,●●●,●●●,●●●,●●●,409,,●●●,●●●,●●●,●●●,●●●,●蕃，
８,648,169,284,163,28,２,２,422,,173,68,93,46,18,14
９,692,41,476,141,32,２,-,499,,189,95,111,51,21,18
10,632,67,240,210,84,30,１,539,,158,100,148,76,29,16
11,585,86,283,195,17,４,-,552,,200,104,130,65,27,ｎ
12,541,81,264,179,14,３,-,562,,131,110,131,128,34,18
13,487,77,259,118,26,７,-,546,,66,122,145,132,53,21
14,420,55,211,128,21,５,-,399,,53,117,99,123,４,２
昭和１,403,73,194,113,18,４,１,479,,111,81,145,77,34,18
２,435,57,214,157,５,２,-,563,29,88,96,171,99,41,31
３,386,28,205,119,27,６,１,637,35,95,117,195,110,48,31
４,359,91,117,92,41,14,４,615,37,69,172,120,89,77,36
５,380,40,196,112,26,５,１,598,121,97,129,99,84,51,17
６,332,39,183,77,28,４,１,526,41,102,132,96,81,56,18
７,279,15,157,89,16,２,-,631,-,34,93,189,154,93,33
８,220,１,122,82,14,１,-,620,-,８,157,170,154,64,38
９,160,３,81,63,11,２,-,254,-,28,60,70,40,32,15
10,●●●,●●●,●■●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,■●●,●●●
11,148,３,51,78,16,-,-,285,-,42,49,65,49,35,25
12,136,３,41,68,24,-,-,301,-,57,49,65,55,33,24
13,109,●●●,●●●,,●●●,●●●,●●●,●●●,●●●,,●●●,●●●,ａ●●,●●●,●●●
14,104,●●●,●争●,●●●,●●●,●●●,●●●,●●●,●●●,・●●,●●●,●●●,●●●,●●●,
15,93,●●●,●●●,,●●●,・●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●
16,86,●●●,●●●,●●●,,■●●,●●●,●●●,■●●,●●●,●●●,●●蕃,慟●●,●●●,●●●
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
