,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,遊郭数,営　業　種　別　数,,,芸妓・娼妓数,,遊郭別貸座敷・娼妓数（再掲）,,,,
,,,,,,,,蓬莱町遊郭,,台町遊郭,,出　　　　　　典
,,,料理店,飲食店,貸座敷,芸　妓,娼　妓,貸座敷,娼　妓,貸座敷,娟　妓,
,明治１,２,二●●,●●●,25,●●●,493,,,,,舊記抄録
,２,●●●,・■■,●●●,,●●●,●●●,,,,,
,３,●●●,●●●,●●●,●●●,●●争,●●●,一明治4,竿山ノ上,町遊郭焼,k、蓬原,町遊郭成立
,４,●●●,・呷・,●●●,,●曾●,二●●,明治6,弟台町が,遊郭指定,也となる,
,５,●●●,,●●●,,,,●●●,●●二,●●４,,
,６,●●曾,●●●,●●●,,●●●,●●●,,●●帶,●●二,●●●,
,７,,,●●●,●●●,●●●,,,●●●,●●●,,
,８,,,●●●,,,,,,●嵋●,●●●,
,９,●二嚶,,,・●●,●●●,,●●●,,●Ｉ嗇,,
,10,●●●,,■・●,,,,,,,二●●,
,ｎ,２,73,,49,55,124,・●●,●嗇●,●・●,,北海道紀行
,12,２,●●・,●●●,47,71,175,38,136,９,39,函館新聞　明治12年4月12日付
,13,,■●二,,,,,,,,,
,14,２,●●●,,65,122,253,●●●,●４嘯,●●●,●●●,函館区役所一覧概表
,15,２,,,64,125,263,二・・,●二嚶,●●●,●●●,明治16年函館区役所伺届録
,16,２,●・●,●嘯●,48,132,263,33,172,15,91,函館県統計書
,17,●●●,,,,,●●●,●●●,●二二,●●二,●●●,
,18,,,●●●,33,,228,●●●,●●●,●●●,,函館警察事務年表
,19,,,,●●●,,,,,●●●,,
,20,２,39,155,25,86,181,●●●,●●僵,●●曾,,函館新繁盛記（明治20年8月中）
,21,,,,,,,,●●蕃,●●●,●●●,
,22,２,●Ｉ●,●●●,26,105,202,17,146,９,56,函館新聞　明治22年6月27日付
,23,２,83,128,29,,,,,,,函館区統計表
,24,●●●,●●・,・●●,●●●,Ｉ●●,,,●・●,,・●●,
,25,２,77,175,41,179,368,,,,,函館区統計表
,26,,,●●●,・●●,,●●●,,●蕃Ｉ,,,
,27,,,,●●●,●●●,●■●,●●●,●●●,●●●,・●●,
,28,２,79,202,43,156,398,,,,,函館のしるべ
,29,●●●,,,,,●●●,,,,４●●,
,30,２,148,●二●,96,139,666,,●●●,,●●●,北海道庁統計書（明治30年）
,31,２,■・●,●二●,87,151,686,74,580,13,106,函館沿革史
,32,２,,,86,127,590,72,513,14,77,すゐかｙみ
,33,●●●,●・●,,,,,,●蕃●,,,
,34,２,,,77,,455,●●●,●●暈,●●●,●■●,北海道庁衛生年報（明治34年）
,35,２,232,４●●,82,138,460,,■二二,●●・,●●●,北海道庁統計書（明治35年）
,36,２,243,●●●,80,141,434,,,,,北海道庁統計書（明治36年）
,37,２,293,121,72,88,404,嗇●●,●●●,●●●,,北海道庁統計書（明治37年）
,38,２,306,129,74,162,522,,,,,北海道庁統計書（明治38年）
,39,,,,,,,,●●●,,●●●,
,40,"２
一哘","293
伺O年冫","188
こ火によ","79
蓬莱町","153
台町耐","551
t郭焼失-",暈●●,,●●●,,最新函館案内（明治40年6月調）
