,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,遊郭数,大　　　　　　　森　　　　　　　遊　　　　　　　郭,,,,-!!- a S,芸妓の出入りする,
,,,貸座敷数,娼妓数,遊　客　数,遊　興　金　額,一・・-,料理店数,全料理店数
,明治40,一明名,MO年　大森田,rに遊郭成立-,"－








　　　　　　　　　　　　●●●","円





●･●",●●●,●●●,●●●
,41,１,70,439,●●●,●●ｌ,●●●,●●●,●●●
,42,１,56,385,"47,015","160,780",争●ｌ,●争争,二●●
,43,１,56,370,"92,362","274,488",●●●,●●●,●●●
,44,１,58,390,"104,975","308,011",●●●,・争●,●●●
,大正１,１,57,392,"92,539","332,056",●●●,■●■,●●●
,２,１,61,422,"99,225","323,791",●●●,●●●,・●●
,３,１,59,408,"88,978","286,160",・●●,●●●,●●●
,４,１,58,363,"83,930","240,269",●●●,●●■,●●●
,５,１,67,366,"115,088","312,135",●二●,●●●,●●●
,６,１,90,528,"170,890","413,360",389,169,229
,７,１,90,599,●●●,●●●,409,172,256
,８,１,116,648,"166,598","511,969",422,269,269
,９,１,119,692,"252,730","833,380",499,170,263
,10,１,118,632,"252,079","723,122",539,167,270
,11,１,117,585,"216,569","673,142",552,189,263
,12,１,122,541,"216,524","657,479",562,189,269
,13,１,119,487,"189,142","562,566",546,180,260
,14,１,103,420,"162,897","521,701",399,170,259
,昭和１,１,96,403,"154,049","502,964",479,245,274
,２,１,91,435,"147,299","481,918",563,121,310
,３,１,84,386,"139,284","508,305",637,132,345
,４,１,80,359,"124,943","475,687",615,254,352
,５,１,77,380,"119,112","429,657",598,196,321
,６,１,74,332,"118,501","424,896",526,202,246
,７,１,58,279,"62,755","164,173",631,84,258
,８,１,49,220,"64,969","152,911",620,70,256
,９,１,30,160,"57,250","139,686",254,85,169
,10,１,30,139,●●●,●●●,●●●,●●●,●・●
,11,１,30,148,"64,124","156,475",285,128,232
,12,１,30,136,"64,576","158,875",301,41,241
,13,１,27,109,"70,857","174,332",,●●●,●●●
,14,１,25,104,"90,606","201,450",●●●,●●●,●●●
,15,１,24,93,"106,338","225,783",●●●,●●●,●●●
,16,１,24,86,"89,458","272,471",●●●,,●●●
